GID_0,COUNTRY,GID_1,NAME_1,NAME_2,TYPE_2,ENGTYPE_2,CC_2
UGA,Uganda,UGA.44_1,Mukono,Nakifuma,County,County,"1084"
UGA,Uganda,UGA.45_1,Nakapiripirit,Chekwii,County,County,"3111"
UGA,Uganda,UGA.45_1,Nakapiripirit,Pian,County,County,"3112"
UGA,Uganda,UGA.45_1,Nakapiripirit,Pokot,County,County,"3113"
UGA,Uganda,UGA.46_1,Nakasongola,Buruli,County,County,"1091"
UGA,Uganda,UGA.47_1,Nebbi,Jonam,County,County,"3101"
UGA,Uganda,UGA.47_1,Nebbi,Okoro,County,County,"3102"
UGA,Uganda,UGA.47_1,Nebbi,Padyere,County,County,"3103"
UGA,Uganda,UGA.48_1,Ntungamo,Kajara,County,County,"4111"
UGA,Uganda,UGA.48_1,Ntungamo,Ruhaama,County,County,"4112"
UGA,Uganda,UGA.48_1,Ntungamo,Rushenyi,County,County,"4113"
UGA,Uganda,UGA.49_1,Pader,Agago,County,County,"3122"
UGA,Uganda,UGA.49_1,Pader,Aruu,County,County,"3121"
UGA,Uganda,UGA.50_1,Pallisa,Budaka,County,County,"2104"
UGA,Uganda,UGA.50_1,Pallisa,Butebo,County,County,"2101"
UGA,Uganda,UGA.50_1,Pallisa,Kibuku,County,County,"2102"
UGA,Uganda,UGA.50_1,Pallisa,Pallisa,County,County,"2103"
UGA,Uganda,UGA.51_1,Rakai,Kabula,County,County,"1101"
UGA,Uganda,UGA.51_1,Rakai,Kakuuto,County,County,"1102"
UGA,Uganda,UGA.51_1,Rakai,Kooki,County,County,"1103"
UGA,Uganda,UGA.51_1,Rakai,Kyotera,County,County,"1104"
UGA,Uganda,UGA.52_1,Rukungiri,Bufumbira,County,County,"4122"
UGA,Uganda,UGA.52_1,Rukungiri,Rubabo,County,County,"4121"
UGA,Uganda,UGA.53_1,Sembabule,Lwemiyaga,County,County,"1111"
UGA,Uganda,UGA.53_1,Sembabule,Mawogola,County,County,"1112"
UGA,Uganda,UGA.54_1,Sironko,Budadiri,County,County,"2151"
UGA,Uganda,UGA.54_1,Sironko,Bulambuli,County,County,"2152"
UGA,Uganda,UGA.54_1,Sironko,Mt. Elgon Np,County,County,"2153"
UGA,Uganda,UGA.55_1,Soroti,Kasilo,County,County,"2111"
UGA,Uganda,UGA.55_1,Soroti,Serere,County,County,"2112"
UGA,Uganda,UGA.55_1,Soroti,Soroti,County,County,"2113"
UGA,Uganda,UGA.55_1,Soroti,Soroti (Municipality),Municipality,Municipality,"2114"
UGA,Uganda,UGA.56_1,Tororo,Bunyole,County,County,"2121"
UGA,Uganda,UGA.56_1,Tororo,Kisoko (West Budama),County,County,"2124"
UGA,Uganda,UGA.56_1,Tororo,Tororo,County,County,"2122"
UGA,Uganda,UGA.56_1,Tororo,Tororo (Municipality),Municipality,Municipality,"2123"
UGA,Uganda,UGA.57_1,Wakiso,Busiiro,County,County,"1131"
UGA,Uganda,UGA.57_1,Wakiso,Entebbe,County,County,"1132"
UGA,Uganda,UGA.57_1,Wakiso,Jinja,County,County,"1133"
UGA,Uganda,UGA.58_1,Yumbe,Aringa,County,County,"3131"
