uid,plant_name,city,country,region,sub_region,latitude,longitude,status,plant_type,capacity_p,capacity_1,capacity_n,capacity_s,fuel,certificat,owner_perm,owner_name,owner_lei,owner_sour,parent_per,parent_nam
GPPMIND0125,Shivalik Cellulose of Hindustan Lever,GAJRAULA,India,Asia,South Asia,28.838164400000000,78.242181200000005,Operating,Paper,N/A,No information, ,No information,No information,PEFC/42-32-14,No information,Shivalik Cellulose of Hindustan Lever,No information, ,No information,No information
GPPMIND0126,"Shree Acids & Chemicals Ltd, Gajraula Mill",GAJRAULA,India,Asia,South Asia,28.838648100000000,78.773328599999999,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Shree Acids and Chemicals Ltd,No information, ,No information,No information
GPPMIND0127,Chemopulp Tissues Limited,GHAZIABAD,India,Asia,South Asia,28.738846500000001,77.262261600000002,Operating,Paper,N/A,No information, ,No information,No information,PEFC/42-31-02,No information,Chemopulp Tissues Ltd,No information, ,No information,No information
GPPMIND0129,RPML Rama Paper Mills Limited,KIRATPUR,India,Asia,South Asia,29.502208299999999,78.204975899999994,Operating,Paper and packaging,N/A,No information, , ,No information,No information,No information,RPML Rama Paper Mills Limited,No information,http://www.ramapaper.com/,No information,No information
GPPMIND0130,Upper India Couper Paper Mills Co Ltd,LUCKNOW,India,Asia,South Asia,26.846693699999999,80.946166000000005,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Upper India Couper Paper Mills Co Ltd,No information, ,No information,No information
GPPMIND0132,Sangal Paper Ltd,MAWANA,India,Asia,South Asia,29.105815199999999,77.919515599999997,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Sangal Paper Ltd,No information,http://www.sangalpapers.com/,No information,No information
GPPMIND0133,Agarwal Pulp and Paper Mills Ltd,MUZAFFARNAGAR,India,Asia,South Asia,29.461053600000000,77.686191600000001,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Agarwal Paper Mills Pvt Ltd,No information, ,No information,No information
GPPMIND0134,Silverton Papers Ltd,MUZAFFARNAGAR,India,Asia,South Asia,29.471379100000000,77.752484699999997,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Silverton Pulp And Papers Pvt Ltd,335800AB7JRD1I1HC271,http://www.silvertonpapers.com/,No information,Silverton Pulp And Papers Pvt Ltd
GPPMIND0135,Tirupati Balaji Fibres Limited,MUZAFFARNAGAR,India,Asia,South Asia,29.467690500000000,77.711568700000001,Operating,Paper,N/A,No information, ,No information,No information,No information,No information,Tirupati Fibres,984500D3CD989B137908,http://www.writingprintingpaper.com/,No information,Tirupati Fibres
GPPMIND0136,Cheema Papers Limited,NAINI TAL,India,Asia,South Asia,27.570588600000001,80.098186900000002,Operating,Paper,N/A,No information, ,No information,No information,PEFC/42-32-26,No information,Cheema Papers Ltd,335800LBFUDO7LZGYR33,http://cheemagroup.com/,No information,Cheema Papers Ltd
