source_id,source_name,iso3_country,sector,subsector,start_time,end_time,source_type,capacity,capacity_factor,activity,co2_emissions_factor,ch4_emissions_factor,n2o_emissions_factor,co2_emissions,ch4_emissions,n2o_emissions,total_co2e_20yrgwp,created_date,modified_date,total_co2e_100yrgwp
117747,Oyo Urban Area in Atiba Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
111579,Oyo Urban Area in Oyo East Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
111579,Oyo Urban Area in Oyo East Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
108084,Oyo Urban Area in Oyo West Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
108084,Oyo Urban Area in Oyo West Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
110269,Ozala Urban Area in Igbo-Etiti Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
110269,Ozala Urban Area in Igbo-Etiti Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
114825,Ozala Urban Area in Nsukka Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
114825,Ozala Urban Area in Nsukka Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117012,Ozizza Urban Area in Abi Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117012,Ozizza Urban Area in Abi Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
114880,Ozizza Urban Area in Afikpo North Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
114880,Ozizza Urban Area in Afikpo North Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
115480,Ozoro Urban Area in Isoko North Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
115480,Ozoro Urban Area in Isoko North Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
113873,Ozu Urban Area in Ekwusigo Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
113873,Ozu Urban Area in Ekwusigo Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
115193,Ozu Urban Area in Nnewi North Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
115193,Ozu Urban Area in Nnewi North Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
119641,Ozu Urban Area in Nnewi South Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
119641,Ozu Urban Area in Nnewi South Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117378,Pategi Urban Area in Pategi Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117378,Pategi Urban Area in Pategi Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
106314,Port Harcourt Urban Area in Obio/Akpor Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
106314,Port Harcourt Urban Area in Obio/Akpor Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
107245,Port Harcourt Urban Area in Port Harcourt Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
107245,Port Harcourt Urban Area in Port Harcourt Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
113599,Potiskum Urban Area in Nangere Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
113599,Potiskum Urban Area in Nangere Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
112050,Potiskum Urban Area in Potiskum Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
112050,Potiskum Urban Area in Potiskum Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
121089,Rano Urban Area in Bunkure Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
121089,Rano Urban Area in Bunkure Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
116397,Rano Urban Area in Rano Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
116397,Rano Urban Area in Rano Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117326,Ribah Urban Area in Danko Wasagu Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117326,Ribah Urban Area in Danko Wasagu Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117330,Rijau Urban Area in Rijau Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117330,Rijau Urban Area in Rijau Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117331,Ringim Urban Area in Ringim Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
117331,Ringim Urban Area in Ringim Local Authority,NGA,transportation,road-transportation,2022-01-01 00:00:00,2022-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
111597,Rubuchi Urban Area in Abuja Local Authority,NGA,transportation,road-transportation,2021-01-01 00:00:00,2021-12-31 00:00:00,,low,,low,low,low,low,low,low,low,low,2023-09-05 00:00:00,2023-10-27 16:00:00,low
