latitude,longitude,type,brickid
23.8131828784375,90.408701475,fcbk,BKB-92
23.8107587234375,88.92060757,fcbk,BKB-93
22.9833643953125,89.60684399,fcbk,BKB-94
22.8255169278125,90.294749205,fcbk,BKB-95
23.39193523125,89.585663485,fcbk,BKB-96
22.4535702475,90.1687958,fcbk,BKB-97
22.8322486334375,89.962892235,fcbk,BKB-98
23.11228923,89.6451214,fcbk,BKB-99
22.9705187259375,90.50487983,fcbk,BKB-100
22.4573098265625,89.585552225,fcbk,BKB-101
22.50683217375,90.40843273,fcbk,BKB-102
23.184435921875,89.595714545,fcbk,BKB-103
22.9360688609375,90.49632698,fcbk,BKB-104
22.9377591734375,90.49724073,fcbk,BKB-105
22.447665579375,90.446975245,fcbk,BKB-106
22.399786305625,89.90671404,fcbk,BKB-107
22.9648318109375,90.47556016,fcbk,BKB-108
22.9215077471875,90.51443431,fcbk,BKB-109
23.8513619053125,88.836097115,fcbk,BKB-110
23.855936434375,88.729521245,fcbk,BKB-111
23.8533540125,88.72930087,fcbk,BKB-112
22.9079760075,90.529772405,fcbk,BKB-113
22.549585719375,90.145077835,fcbk,BKB-114
22.4500172553125,90.168142735,fcbk,BKB-115
22.3166114853125,89.149979065,fcbk,BKB-116
23.410179480625,89.609722155,fcbk,BKB-117
22.478519525625,90.695068195,fcbk,BKB-118
24.1457982928125,89.49762573,fcbk,BKB-119
22.756574326875,90.36663614,fcbk,BKB-120
22.433533329375,90.168294825,fcbk,BKB-121
22.4368998684375,90.16796695,fcbk,BKB-122
23.373332969375,90.242790325,fcbk,BKB-123
22.6140557521875,90.42369338,fcbk,BKB-124
22.5493398915625,90.464578025,fcbk,BKB-125
22.39428473375,89.579891815,fcbk,BKB-126
23.6299837521875,90.43805663,fcbk,BKB-127
23.626504525625,90.43969063,fcbk,BKB-128
23.6291667678125,90.43877688,fcbk,BKB-129
24.5786731221875,90.009306885,fcbk,BKB-130
22.7580597340625,89.03383546,fcbk,BKB-131
23.8121546453125,88.619745355,fcbk,BKB-132
22.79306567125,90.362057885,fcbk,BKB-133
22.85196519625,89.549830145,fcbk,BKB-134
22.827915788125,89.643074725,fcbk,BKB-135
22.6525366478125,90.388750835,fcbk,BKB-136
22.650456624375,90.388707835,fcbk,BKB-137
23.1206448565625,89.296182615,fcbk,BKB-138
22.5533747596875,90.016492515,fcbk,BKB-139
22.5533841503125,90.01642264,fcbk,BKB-140
22.8497260846875,89.937442555,fcbk,BKB-141
23.874983,90.3688518,fcbk,BKB-142
22.8137718721875,90.292029945,fcbk,BKB-143
22.551776925625,90.605740845,fcbk,BKB-144
22.6298258728125,90.24260051,fcbk,BKB-145
23.9371552025,90.207648925,fcbk,BKB-146
24.030073195,89.106710445,fcbk,BKB-147
22.87262306125,89.006541555,fcbk,BKB-148
23.416966821875,88.84253387,fcbk,BKB-149
23.417060728125,88.84252312,fcbk,BKB-150
22.3087121090625,89.07035888,fcbk,BKB-151
22.9420035996875,90.49883248,fcbk,BKB-152
22.80014797875,89.83559622,fcbk,BKB-153
22.6130680253125,89.15996017,fcbk,BKB-154
23.0740159378125,89.945003145,fcbk,BKB-155
23.0980255525,89.29236899,fcbk,BKB-156
22.9003646228125,89.567436765,fcbk,BKB-157
22.3788083346875,89.101118305,fcbk,BKB-158
22.74275972625,89.103681725,fcbk,BKB-159
22.577045304375,89.17144229,fcbk,BKB-160
25.8615610715625,89.03079967,fcbk,BKB-161
22.6727577478125,90.3195522,fcbk,BKB-162
22.67213327125,90.3191007,fcbk,BKB-163
23.714179424375,89.79418113,fcbk,BKB-164
23.257490274375,88.893962645,fcbk,BKB-165
22.5541485378125,89.95806597,fcbk,BKB-166
23.0201576659375,88.902570965,fcbk,BKB-167
23.607123073125,89.315132365,fcbk,BKB-168
23.6094002996875,89.316325615,fcbk,BKB-169
22.6962394775,90.67716528,fcbk,BKB-170
22.64579031625,90.467876045,fcbk,BKB-171
22.7108826175,89.114839535,fcbk,BKB-172
22.7120757746875,89.696695225,fcbk,BKB-173
22.709821959375,90.39980237,fcbk,BKB-174
22.710141240625,90.393970495,fcbk,BKB-175
22.7104933890625,90.398711245,fcbk,BKB-176
22.712160225,90.395249745,fcbk,BKB-177
22.707441930625,90.48471343,fcbk,BKB-178
22.72302872875,89.111365855,fcbk,BKB-179
23.6916635475,88.81219862,fcbk,BKB-180
22.619101523125,90.6490209,fcbk,BKB-181
23.245504553125,90.172165785,fcbk,BKB-182
22.936483766875,90.50335696,fcbk,BKB-183
23.8886566653125,90.130569775,fcbk,BKB-184
22.6518552115625,90.29156337,fcbk,BKB-185
23.156805708125,90.06019626,fcbk,BKB-186
22.35562398875,90.072123785,fcbk,BKB-187
22.907110574375,89.49272102,fcbk,BKB-188
22.824273105,90.31482565,fcbk,BKB-189
22.89235145125,89.19192341,fcbk,BKB-190
22.6281484246875,89.721166875,fcbk,BKB-191
23.271272305625,90.34630519,fcbk,BKB-192
23.5942032159375,89.816054575,fcbk,BKB-193
22.8280953846875,90.229825095,fcbk,BKB-194
22.650265750625,90.207634955,fcbk,BKB-195
22.533544806875,90.409273395,fcbk,BKB-196
24.07880843875,89.181051645,fcbk,BKB-197
22.5329870221875,90.46835834,fcbk,BKB-198
22.53440031125,90.468256215,fcbk,BKB-199
