id,lat,lon,type,state
BKB-166,22.55414854,89.95806597,FCBK,Barisal
BKB-167,23.02015767,88.90257096,FCBK,Khulna
BKB-168,23.60712307,89.31513236,FCBK,Khulna
BKB-169,23.6094003,89.31632561,FCBK,Khulna
BKB-170,22.69623948,90.67716528,FCBK,Barisal
BKB-171,22.64579032,90.46787604,FCBK,Barisal
BKB-172,22.71088262,89.11483954,FCBK,Khulna
BKB-173,22.71207577,89.69669522,FCBK,Khulna
BKB-174,22.70982196,90.39980237,FCBK,Barisal
BKB-175,22.71014124,90.3939705,FCBK,Barisal
BKB-176,22.71049339,90.39871125,FCBK,Barisal
BKB-177,22.71216023,90.39524975,FCBK,Barisal
BKB-178,22.70744193,90.48471343,FCBK,Barisal
BKB-179,22.72302873,89.11136586,FCBK,Khulna
BKB-180,23.69166355,88.81219862,FCBK,Khulna
BKB-181,22.61910152,90.6490209,FCBK,Barisal
BKB-182,23.24550455,90.17216579,FCBK,Dhaka
BKB-183,22.93648377,90.50335696,FCBK,Barisal
BKB-184,23.88865667,90.13056977,FCBK,Dhaka
BKB-185,22.65185521,90.29156337,FCBK,Barisal
BKB-186,23.15680571,90.06019626,FCBK,Dhaka
BKB-187,22.35562399,90.07212379,FCBK,Barisal
BKB-188,22.90711057,89.49272102,FCBK,Khulna
BKB-189,22.82427311,90.31482565,FCBK,Barisal
BKB-190,22.89235145,89.19192341,FCBK,Khulna
BKB-191,22.62814842,89.72116687,FCBK,Khulna
BKB-192,23.27127231,90.34630519,FCBK,Dhaka
BKB-193,23.59420322,89.81605457,FCBK,Dhaka
BKB-194,22.82809538,90.22982509,FCBK,Barisal
BKB-195,22.65026575,90.20763496,FCBK,Barisal
BKB-196,22.53354481,90.4092734,FCBK,Barisal
BKB-197,24.07880844,89.18105164,FCBK,Rajshahi
BKB-198,22.53298702,90.46835834,FCBK,Barisal
BKB-199,22.53440031,90.46825621,FCBK,Barisal
BKB-200,22.6350387,90.37313282,FCBK,Barisal
BKB-201,22.88445859,89.30689416,FCBK,Khulna
BKB-202,22.39268515,89.14949649,FCBK,Khulna
BKB-203,22.59649456,89.03893344,FCBK,Khulna
BKB-204,22.55633142,90.33929489,FCBK,Barisal
BKB-205,26.02854759,88.22290152,FCBK,Rangpur
BKB-206,23.73497563,89.62543049,FCBK,Dhaka
BKB-207,22.63850142,89.07679225,FCBK,Khulna
BKB-208,22.51876551,90.3664698,FCBK,Barisal
BKB-209,22.56130705,90.2789226,FCBK,Barisal
BKB-210,22.50014339,90.04602963,FCBK,Barisal
BKB-211,22.84357745,90.27033501,FCBK,Barisal
BKB-212,22.71001304,90.39376845,FCBK,Barisal
BKB-213,22.48113043,90.31646097,FCBK,Barisal
BKB-214,22.75564793,89.03973192,FCBK,Khulna
BKB-215,22.62370637,89.13895421,FCBK,Khulna
BKB-216,22.45602822,89.60623057,FCBK,Khulna
BKB-217,22.9297162,89.82013564,FCBK,Khulna
BKB-218,23.11732944,89.12387127,FCBK,Khulna
BKB-219,22.69020931,90.37756299,FCBK,Barisal
BKB-220,22.59044373,90.67610788,FCBK,Barisal
BKB-221,23.77728721,90.31884536,FCBK,Dhaka
BKB-222,23.78091669,90.31725436,FCBK,Dhaka
BKB-223,24.54103379,89.06871454,FCBK,Rajshahi
BKB-224,23.32187327,89.55548884,FCBK,Khulna
BKB-225,22.94676841,90.18169587,FCBK,Barisal
BKB-226,22.82101466,89.63897762,FCBK,Khulna
BKB-227,22.69247588,89.16207894,FCBK,Khulna
BKB-228,23.72297876,90.42428132,FCBK,Dhaka
BKB-229,22.50799766,89.0324629,FCBK,Khulna
BKB-230,22.94337428,90.40624714,FCBK,Barisal
BKB-231,23.88014499,90.34742732,FCBK,Dhaka
BKB-232,22.31758368,89.10445811,FCBK,Khulna
BKB-233,22.31932564,89.10432373,FCBK,Khulna
BKB-234,22.86038963,89.35687559,FCBK,Khulna
BKB-235,22.81694252,90.25599868,FCBK,Barisal
BKB-236,22.56978317,89.95720215,FCBK,Khulna
BKB-237,25.07335138,90.03484106,FCBK,Mymensingh
BKB-238,22.98993237,89.62367344,FCBK,Khulna
BKB-239,22.70695355,90.41379505,FCBK,Barisal
BKB-240,23.80327122,90.31241563,FCBK,Dhaka
BKB-241,22.69329415,90.20018532,FCBK,Barisal
BKB-242,23.82027289,90.38838997,FCBK,Dhaka
BKB-243,22.36949028,89.10361131,FCBK,Khulna
BKB-244,22.61667682,89.70003101,FCBK,Khulna
BKB-245,23.9514004,89.22307637,FCBK,Khulna
BKB-246,23.95018431,89.22173799,FCBK,Khulna
BKB-247,24.48049235,88.36392748,FCBK,Rajshahi
BKB-248,23.25849572,90.20058064,FCBK,Dhaka
BKB-249,23.77501987,90.23963953,FCBK,Dhaka
BKB-250,22.24614062,89.11682866,FCBK,Khulna
BKB-251,22.67246456,89.08026553,FCBK,Khulna
BKB-252,23.71086975,89.94041542,FCBK,Dhaka
BKB-253,23.71059742,89.94252242,FCBK,Dhaka
BKB-254,23.71099653,89.94092067,FCBK,Dhaka
BKB-255,23.54701642,89.19736986,FCBK,Khulna
BKB-256,23.44189305,89.46994614,FCBK,Khulna
BKB-257,23.62677964,88.82768012,FCBK,Khulna
BKB-258,22.72963277,90.2510895,FCBK,Barisal
BKB-259,22.96540253,90.47553837,FCBK,Barisal
BKB-260,22.58251263,90.28015117,FCBK,Barisal
BKB-261,22.43810915,89.562208,FCBK,Khulna
BKB-262,23.69514676,89.71741235,FCBK,Dhaka
BKB-263,22.84857253,89.3548171,FCBK,Khulna
BKB-264,22.64157603,88.97784228,FCBK,Khulna
BKB-265,23.48035567,89.37142762,FCBK,Khulna
BKB-266,23.23367929,89.13526441,FCBK,Khulna
BKB-267,23.82860993,89.02343026,FCBK,Khulna
BKB-268,23.73653684,89.76070232,FCBK,Dhaka
BKB-269,23.73283694,89.76366395,FCBK,Dhaka
BKB-270,22.78516142,90.15558343,FCBK,Barisal
BKB-271,23.17841741,90.34896553,FCBK,Dhaka
BKB-272,22.82589609,89.59335841,FCBK,Khulna
BKB-273,22.46702376,90.05421841,FCBK,Barisal
BKB-274,22.74484227,89.7091675,FCBK,Khulna
BKB-275,22.95308358,90.48800902,FCBK,Barisal
BKB-276,23.28700078,90.110402,FCBK,Dhaka
BKB-277,22.59381352,90.38213572,FCBK,Barisal
BKB-278,23.01286781,89.84430656,FCBK,Dhaka
BKB-279,22.5179087,90.37209092,FCBK,Barisal
BKB-280,22.51689921,90.3706343,FCBK,Barisal
BKB-281,22.81766606,90.31240748,FCBK,Barisal
BKB-282,22.50936527,90.38901289,FCBK,Barisal
BKB-283,23.63188789,90.4338917,FCBK,Dhaka
BKB-284,23.61586985,89.8447335,FCBK,Dhaka
BKB-285,23.01080159,89.75727805,FCBK,Khulna
BKB-286,23.26434629,90.51799096,FCBK,Dhaka
BKB-287,22.61388754,90.7208123,FCBK,Barisal
BKB-288,22.69729862,89.24909544,FCBK,Khulna
BKB-289,22.63796298,90.18042917,FCBK,Barisal
BKB-290,22.5270561,89.01368193,FCBK,Khulna
BKB-291,22.85283087,89.69893183,FCBK,Khulna
BKB-292,22.85285904,89.69841583,FCBK,Khulna
BKB-293,22.75866623,89.04494233,FCBK,Khulna
BKB-294,23.59850823,89.0151311,FCBK,Khulna
BKB-295,23.59619814,89.01392173,FCBK,Khulna
BKB-296,22.51466993,90.45724499,FCBK,Barisal
BKB-297,23.13473003,89.57304034,FCBK,Khulna
BKB-298,23.68314415,88.80752084,FCBK,Khulna
BKB-299,23.68037391,88.80909571,FCBK,Khulna
BKB-300,22.67007988,90.40636168,FCBK,Barisal
BKB-301,23.02081636,89.75273798,FCBK,Khulna
BKB-302,23.60573983,89.84807004,FCBK,Dhaka
BKB-303,22.64146591,89.8067785,FCBK,Khulna
BKB-304,22.65095497,90.61345162,FCBK,Barisal
BKB-305,22.81782642,89.55862228,FCBK,Khulna
BKB-306,22.92438891,90.51073292,FCBK,Barisal
BKB-307,22.9255017,90.50963642,FCBK,Barisal
BKB-308,23.52405326,89.30705835,FCBK,Khulna
BKB-309,22.70766949,88.97860558,FCBK,Khulna
BKB-310,22.77347972,89.19231465,FCBK,Khulna
BKB-311,22.61163277,90.70246042,FCBK,Barisal
BKB-312,22.61361036,89.15994691,FCBK,Khulna
BKB-313,23.59213106,89.77700753,FCBK,Dhaka
BKB-314,22.97322356,90.29136705,FCBK,Dhaka
BKB-315,23.73285486,89.37841099,FCBK,Dhaka
BKB-316,22.82017432,90.58175259,FCBK,Barisal
BKB-317,23.22914843,90.34068754,FCBK,Dhaka
BKB-318,22.6310137,90.37760022,FCBK,Barisal
BKB-319,22.56726518,89.95660874,FCBK,Khulna
BKB-320,22.89732809,89.56928179,FCBK,Khulna
BKB-321,22.89498982,89.57112005,FCBK,Khulna
BKB-322,22.58407027,90.12731314,FCBK,Barisal
BKB-323,22.93786985,90.53227666,FCBK,Barisal
BKB-324,23.70122177,89.16124845,FCBK,Khulna
BKB-325,22.89874923,90.40498847,FCBK,Barisal
BKB-326,22.94298849,89.59459655,FCBK,Khulna
BKB-327,22.80994756,89.59167955,FCBK,Khulna
BKB-328,22.59434106,90.01811869,FCBK,Barisal
BKB-329,22.59295125,90.01945707,FCBK,Barisal
BKB-330,24.37901854,89.54522429,FCBK,Rajshahi
BKB-331,24.97238513,89.67751254,FCBK,Mymensingh
BKB-332,23.03197553,89.11882236,FCBK,Khulna
BKB-333,22.89960871,90.42208435,FCBK,Barisal
BKB-334,22.96114788,90.56155747,FCBK,Barisal
BKB-335,22.96096007,90.56311622,FCBK,Barisal
BKB-336,22.96096007,90.56298722,FCBK,Barisal
BKB-337,23.53243818,88.92286162,FCBK,Khulna
BKB-338,22.6148957,90.61548026,FCBK,Barisal
BKB-339,22.61460459,90.61506101,FCBK,Barisal
BKB-340,23.05797421,89.78931132,FCBK,Dhaka
BKB-341,22.68454087,90.37774189,FCBK,Barisal
BKB-342,22.74960461,89.72608564,FCBK,Khulna
BKB-343,22.64806766,90.22320815,FCBK,Barisal
BKB-344,22.66048741,90.29824409,FCBK,Barisal
BKB-345,22.91671177,90.5195747,FCBK,Barisal
BKB-346,22.91433125,90.52284269,FCBK,Barisal
BKB-347,22.77332006,90.1292052,FCBK,Barisal
BKB-348,22.84221669,89.31228923,FCBK,Khulna
BKB-349,22.81593019,90.36100868,FCBK,Barisal
BKB-350,22.75576585,89.47398246,FCBK,Khulna
BKB-351,24.53853468,89.36058019,FCBK,Rajshahi
BKB-352,23.96069414,89.24112101,FCBK,Rajshahi
BKB-353,23.49304116,89.48827178,FCBK,Khulna
BKB-354,23.49616823,89.48773966,FCBK,Khulna
BKB-355,23.49410699,89.48821266,FCBK,Khulna
BKB-356,22.8269968,90.23007687,FCBK,Barisal
BKB-357,22.82119679,90.16266065,FCBK,Barisal
BKB-358,23.09360077,89.07537445,FCBK,Khulna
BKB-359,22.9074658,90.52969418,FCBK,Barisal
BKB-360,22.70296525,89.30609177,FCBK,Khulna
BKB-361,23.85496915,89.09459435,FCBK,Khulna
BKB-362,22.57951021,89.97936243,FCBK,Barisal
BKB-363,22.57955247,89.9833668,FCBK,Barisal
BKB-364,23.60590276,89.78060688,FCBK,Dhaka
BKB-365,23.59398895,90.61756569,FCBK,Dhaka
BKB-366,22.69924862,89.49151905,FCBK,Khulna
BKB-367,22.54034082,90.02921801,FCBK,Barisal
BKB-368,23.61861257,90.3032652,FCBK,Dhaka
BKB-369,25.13384034,89.86032037,FCBK,Mymensingh
BKB-370,23.74300641,88.93096221,FCBK,Khulna
BKB-371,24.48496869,89.99958584,FCBK,Dhaka
BKB-372,24.4850532,89.99878496,FCBK,Dhaka
BKB-373,23.7543218,90.32717632,FCBK,Dhaka
BKB-374,22.62677404,89.66094499,FCBK,Khulna
BKB-375,26.02113853,88.43216273,FCBK,Rangpur
BKB-376,22.63284547,89.75598066,FCBK,Khulna
BKB-377,22.53157831,89.01041109,FCBK,Khulna
BKB-378,23.70378462,88.6385268,FCBK,Khulna
BKB-379,23.41277391,89.07305471,FCBK,Khulna
BKB-380,23.02237574,89.75572723,FCBK,Khulna
BKB-381,22.96139495,90.40593881,FCBK,Barisal
BKB-382,23.48311344,88.83280676,FCBK,Khulna
BKB-383,24.01043378,88.96776474,FCBK,Khulna
BKB-384,24.011509,88.96480849,FCBK,Khulna
BKB-385,24.011509,88.96604473,FCBK,Khulna
BKB-386,23.29741584,90.30937204,FCBK,Dhaka
BKB-387,22.87208144,89.0763124,FCBK,Khulna
BKB-388,23.89725917,90.144196,FCBK,Dhaka
BKB-389,22.64957989,90.17469325,FCBK,Barisal
BKB-390,22.50523129,89.57841088,FCBK,Khulna
BKB-391,22.92343827,89.91118271,FCBK,Dhaka
BKB-392,22.95542234,90.48495612,FCBK,Barisal
BKB-393,22.72965582,89.11013942,FCBK,Khulna
BKB-394,23.98803991,89.14620731,FCBK,Rajshahi
BKB-395,22.65442754,89.69473848,FCBK,Khulna
BKB-396,22.44686318,89.23254747,FCBK,Khulna
BKB-397,22.90944881,90.41513851,FCBK,Barisal
BKB-398,24.0115762,89.00530624,FCBK,Khulna
BKB-399,24.01636542,89.00678437,FCBK,Khulna
BKB-400,23.58712448,89.41870378,FCBK,Khulna
BKB-401,22.8205008,90.29096965,FCBK,Barisal
BKB-402,23.85951735,89.73648605,FCBK,Dhaka
BKB-403,23.32767457,90.28522367,FCBK,Dhaka
BKB-404,23.03601524,89.00105038,FCBK,Khulna
BKB-405,22.87449852,90.55732351,FCBK,Barisal
BKB-406,23.34287271,88.88876796,FCBK,Khulna
BKB-407,22.82714907,90.28656695,FCBK,Barisal
BKB-408,23.92684703,89.74435247,FCBK,Dhaka
BKB-409,22.93253304,90.53840111,FCBK,Barisal
BKB-410,23.28086768,89.00445588,FCBK,Khulna
BKB-411,22.59642086,89.00880045,FCBK,Khulna
BKB-412,23.88111969,89.75351874,FCBK,Dhaka
BKB-413,23.04856727,89.62433748,FCBK,Khulna
BKB-414,23.0499383,89.62496636,FCBK,Khulna
BKB-415,23.72815434,90.3148589,FCBK,Dhaka
BKB-416,22.96707152,89.66372028,FCBK,Khulna
BKB-417,22.88362269,90.48920112,FCBK,Barisal
BKB-418,22.61463888,89.09315684,FCBK,Khulna
BKB-419,23.95006242,89.2214444,FCBK,Khulna
BKB-420,22.80207123,90.3088268,FCBK,Barisal
BKB-421,22.87706151,89.56913283,FCBK,Khulna
BKB-422,23.19795416,90.31450978,FCBK,Dhaka
BKB-423,23.24548304,89.98334047,FCBK,Dhaka
BKB-424,23.64755611,90.31733706,FCBK,Dhaka
BKB-425,23.64750447,90.31724569,FCBK,Dhaka
BKB-426,22.51856527,89.25135253,FCBK,Khulna
BKB-427,23.09513824,90.27195896,FCBK,Dhaka
BKB-428,23.43885254,89.51271886,FCBK,Khulna
BKB-429,25.41094357,89.17771863,FCBK,Rangpur
BKB-430,25.41145536,89.1774445,FCBK,Rangpur
BKB-431,24.25435057,89.910249,FCBK,Dhaka
BKB-432,23.84252276,89.83258827,FCBK,Dhaka
BKB-433,23.7703146,89.05314089,FCBK,Khulna
BKB-434,23.13591649,89.28640689,FCBK,Khulna
BKB-435,23.78794212,90.12312594,FCBK,Dhaka
BKB-436,22.86776683,90.44138444,FCBK,Barisal
BKB-437,22.81006301,89.59192065,FCBK,Khulna
BKB-438,22.88492832,90.53644074,FCBK,Barisal
BKB-439,24.11838133,90.17547242,FCBK,Dhaka
BKB-440,24.11774276,90.17451567,FCBK,Dhaka
BKB-441,23.82645153,90.40850753,FCBK,Dhaka
BKB-442,23.09907566,89.17617033,FCBK,Khulna
BKB-443,22.90042008,89.56763368,FCBK,Khulna
BKB-444,23.24664273,89.62388796,FCBK,Khulna
BKB-445,22.81942122,89.59935803,FCBK,Khulna
BKB-446,22.82125239,89.60118016,FCBK,Khulna
BKB-447,22.82282532,89.59863778,FCBK,Khulna
BKB-448,25.10260161,88.63639065,FCBK,Rajshahi
BKB-449,23.43354819,89.53383575,FCBK,Khulna
BKB-450,23.5003461,89.46235058,FCBK,Khulna
BKB-451,25.05339349,90.00495699,FCBK,Mymensingh
BKB-452,25.05782586,90.00493549,FCBK,Mymensingh
BKB-453,22.81881698,89.6131559,FCBK,Khulna
BKB-454,22.79291833,90.30666579,FCBK,Barisal
BKB-455,23.09029866,89.99113238,FCBK,Dhaka
BKB-456,23.84735076,89.04573546,FCBK,Khulna
BKB-457,23.84737893,89.04406921,FCBK,Khulna
BKB-458,23.84747284,89.04482708,FCBK,Khulna
BKB-459,23.8459561,89.7339118,FCBK,Dhaka
BKB-460,22.92797811,90.2399366,FCBK,Barisal
BKB-461,22.89348828,89.56849929,FCBK,Khulna
BKB-462,22.89720697,89.56909054,FCBK,Khulna
BKB-463,23.45687427,89.5726613,FCBK,Khulna
BKB-464,22.83568402,89.80983943,FCBK,Khulna
BKB-465,23.19091092,90.21008628,FCBK,Dhaka
BKB-466,22.84525174,89.72103861,FCBK,Khulna
BKB-467,23.79163875,90.32153777,FCBK,Dhaka
BKB-468,23.54848626,89.77442916,FCBK,Dhaka
BKB-469,23.82658707,90.43708352,FCBK,Dhaka
BKB-470,24.62454239,90.11544733,FCBK,Dhaka
BKB-471,23.05625065,89.43392726,FCBK,Khulna
BKB-472,22.9660285,90.50182566,FCBK,Barisal
BKB-473,22.94384285,90.40880223,FCBK,Barisal
BKB-474,23.26702721,89.62288301,FCBK,Khulna
BKB-475,23.47544864,89.50677907,FCBK,Khulna
BKB-476,22.54123833,89.18488631,FCBK,Khulna
BKB-477,22.78281154,90.14909704,FCBK,Barisal
BKB-478,23.46616385,89.55819405,FCBK,Khulna
BKB-479,23.73272513,89.62047741,FCBK,Dhaka
BKB-480,22.87638179,90.44209888,FCBK,Barisal
BKB-481,22.78691003,90.16723534,FCBK,Barisal
BKB-482,22.86123619,90.28262973,FCBK,Barisal
BKB-483,23.7773718,90.31904083,FCBK,Dhaka
BKB-484,23.63198345,88.65817078,FCBK,Khulna
BKB-485,23.34749308,89.52761364,FCBK,Khulna
BKB-486,23.66037285,89.98364082,FCBK,Dhaka
BKB-487,24.81563006,88.47133131,FCBK,Rajshahi
BKB-488,22.54841838,88.99342031,FCBK,Khulna
BKB-489,22.97297385,89.79682779,FCBK,Khulna
BKB-490,23.84267952,88.63769925,FCBK,Khulna
BKB-491,23.84285324,88.63780137,FCBK,Khulna
BKB-492,22.78025248,90.13026996,FCBK,Barisal
BKB-493,23.02739891,89.84471844,FCBK,Dhaka
BKB-494,22.76004908,89.09774312,FCBK,Khulna
