latitude,longitude,state,brickid
73.0110238745,30.4538313627,Punjab,BKP-232
73.0110110414,30.444957291,Punjab,BKP-233
73.0166949779,30.2880277484,Punjab,BKP-234
73.022342647,30.2856667415,Punjab,BKP-235
73.0227019731,30.3857839799,Punjab,BKP-236
73.3348126355,31.4978264364,Punjab,BKP-237
73.3360496347,33.2436154177,Punjab,BKP-238
73.025396919,32.3729472199,Punjab,BKP-239
73.0280020333,32.4093739047,Punjab,BKP-240
73.3333843142,30.5889379814,Punjab,BKP-241
73.3392233635,30.7687807013,Punjab,BKP-242
73.3391757256,30.702739556,Punjab,BKP-243
73.3436889361,32.4042180478,Punjab,BKP-244
73.3481166848,32.3698480322,Punjab,BKP-245
73.3480268533,32.3527800418,Punjab,BKP-246
73.3511196245,32.3516314815,Punjab,BKP-247
73.357414248,32.7663095016,Punjab,BKP-248
73.3433720464,31.4976792004,Punjab,BKP-249
73.3433543305,31.4952264554,Punjab,BKP-250
73.3472469523,32.0158859497,Punjab,BKP-251
73.3458214893,31.8890382511,Punjab,BKP-252
73.3571447534,30.7674332284,Punjab,BKP-253
73.3553481229,30.4506423434,Punjab,BKP-254
73.3063704113,30.9546206521,Punjab,BKP-255
73.3099910124,30.8975151401,Punjab,BKP-256
73.3097384875,32.3568611811,Punjab,BKP-257
73.3079170759,32.3078642776,Punjab,BKP-258
73.3077871068,31.3550585263,Punjab,BKP-259
73.3050140991,31.3176678878,Punjab,BKP-260
73.3033420844,33.1242403747,Punjab,BKP-261
73.3038447132,33.1207348063,Punjab,BKP-262
73.3098055342,31.4949877601,Punjab,BKP-263
73.3127941112,31.4851618242,Punjab,BKP-264
73.3090130205,31.4816193315,Punjab,BKP-265
73.3234130145,32.6789825069,Punjab,BKP-266
73.3293186631,33.1407465862,Punjab,BKP-267
73.3180680386,33.238698575,Punjab,BKP-268
73.3140256198,33.2978975522,Punjab,BKP-269
73.3141620306,33.2976247305,Punjab,BKP-270
73.3154980757,33.297415196,Punjab,BKP-271
73.3224266643,33.3583056618,Punjab,BKP-272
73.3170315209,33.4366147074,Punjab,BKP-273
73.3194026784,33.4452405084,Punjab,BKP-274
73.3241328807,31.1489368041,Punjab,BKP-275
73.3250973557,30.7439422837,Punjab,BKP-276
73.4018089894,32.4178899336,Punjab,BKP-277
73.3981785123,32.584269474,Punjab,BKP-278
73.3328328484,33.2852737272,Punjab,BKP-279
73.3324859989,33.2853211382,Punjab,BKP-280
73.3959869082,31.6866143803,Punjab,BKP-281
73.4000072256,31.7426378843,Punjab,BKP-282
73.4030935802,31.7225669542,Punjab,BKP-283
73.4017311354,32.0642461632,Punjab,BKP-284
73.4029139172,32.0625343735,Punjab,BKP-285
73.3932570278,32.0604233326,Punjab,BKP-286
73.3936099374,32.0589154462,Punjab,BKP-287
73.3961969688,31.3286720351,Punjab,BKP-288
73.3989538439,31.2333219926,Punjab,BKP-289
73.3932374993,31.4250097807,Punjab,BKP-290
73.4049617433,32.2785409378,Punjab,BKP-291
73.4075202783,30.8852672405,Punjab,BKP-292
73.4125708065,30.882389002,Punjab,BKP-293
73.403318159,32.4259820432,Punjab,BKP-294
73.4038078858,32.5705099332,Punjab,BKP-295
73.4114479124,32.4952528459,Punjab,BKP-296
73.4034529063,33.2810092249,Punjab,BKP-297
73.4082588931,32.7259851266,Punjab,BKP-298
73.4040368113,32.7128248077,Punjab,BKP-299
73.4070910832,32.7128248077,Punjab,BKP-300
73.3713381349,33.4033897104,Punjab,BKP-301
73.3709039492,32.4681910979,Punjab,BKP-302
73.3726521822,32.4673079287,Punjab,BKP-303
73.3645343731,32.6666025806,Punjab,BKP-304
73.3712770495,32.665309319,Punjab,BKP-305
73.3836450543,31.3263517876,Punjab,BKP-306
73.3896487948,31.333633866,Punjab,BKP-307
73.3774466788,30.8012291327,Punjab,BKP-308
73.3760992059,30.8300216183,Punjab,BKP-309
73.376458532,30.830180551,Punjab,BKP-310
73.3742764952,31.0047434952,Punjab,BKP-311
73.3754575521,32.5805222159,Punjab,BKP-312
73.2190736943,33.3695381961,Punjab,BKP-313
73.2202814293,33.3683204799,Punjab,BKP-314
73.2196306497,33.3682176727,Punjab,BKP-315
73.2201067568,33.3683703863,Punjab,BKP-316
73.2207804933,33.3654508616,Punjab,BKP-317
73.3924727295,31.5707516712,Punjab,BKP-318
73.3833061445,32.0734570707,Punjab,BKP-319
73.2179717608,30.7906486897,Punjab,BKP-320
73.3851054583,32.0436505029,Punjab,BKP-321
73.2246820399,31.4061660198,Punjab,BKP-322
73.2209337353,32.5420365774,Punjab,BKP-323
73.218404041,32.2820132137,Punjab,BKP-324
73.2217461822,32.5295909476,Punjab,BKP-325
73.2199753366,32.5270548705,Punjab,BKP-326
73.2209362013,32.5260979983,Punjab,BKP-327
73.2163447581,32.646964944,Punjab,BKP-328
73.2235924924,33.3347543395,Punjab,BKP-329
73.2348031949,31.0897757018,Punjab,BKP-330
73.2403937103,31.0850625409,Punjab,BKP-331
73.2412845397,30.599695307,Punjab,BKP-332
73.2349391013,31.1246135276,Punjab,BKP-333
73.1859258603,33.4376304947,Punjab,BKP-334
73.190348742,33.4343437176,Punjab,BKP-335
73.18353185,33.4332377329,Punjab,BKP-336
73.2360518531,31.7847752877,Punjab,BKP-337
73.186573108,33.4282926225,Punjab,BKP-338
73.187748783,33.4268047,Punjab,BKP-339
73.1839779345,33.4255268782,Punjab,BKP-340
73.1921370688,33.4246819215,Punjab,BKP-341
73.188163482,33.4242374304,Punjab,BKP-342
73.1846233031,30.9118823261,Punjab,BKP-343
73.186734344,32.9517766733,Punjab,BKP-344
73.1890595986,31.4965041854,Punjab,BKP-345
73.1847405832,31.4927604373,Punjab,BKP-346
73.1919086401,32.5494032912,Punjab,BKP-347
73.1896628519,32.5467173285,Punjab,BKP-348
73.1884511244,33.1296248005,Punjab,BKP-349
73.1948191816,30.5380933364,Punjab,BKP-350
73.1957174969,30.5366560319,Punjab,BKP-351
73.2026345246,31.4166777669,Punjab,BKP-352
73.1971313069,31.4145042388,Punjab,BKP-353
73.1929583856,30.700754707,Punjab,BKP-354
73.1917220355,30.7112313576,Punjab,BKP-355
73.1917050219,30.7437592936,Punjab,BKP-356
73.191315752,30.7437626206,Punjab,BKP-357
73.1913863339,30.6072026561,Punjab,BKP-358
73.1918734561,30.7559797085,Punjab,BKP-359
73.1929541079,30.7558599331,Punjab,BKP-360
73.1927530564,30.7559797085,Punjab,BKP-361
73.1877015302,30.6032182001,Punjab,BKP-362
73.1860369247,30.6019480367,Punjab,BKP-363
73.2033980926,32.5147912033,Punjab,BKP-364
73.2062327763,32.2381200771,Punjab,BKP-365
73.2095515522,31.3986601289,Punjab,BKP-366
73.2081557085,31.4219077387,Punjab,BKP-367
73.2080244163,31.4219906602,Punjab,BKP-368
73.208830709,31.4199617822,Punjab,BKP-369
73.208653237,31.4201640857,Punjab,BKP-370
73.2001192418,32.2443084712,Punjab,BKP-371
73.1980108429,32.2420415462,Punjab,BKP-372
73.2749152181,32.5587787084,Punjab,BKP-373
73.2812371119,31.6959319061,Punjab,BKP-374
73.2819802637,31.9112458299,Punjab,BKP-375
73.282239079,32.4228382688,Punjab,BKP-376
73.2828840233,32.4215670375,Punjab,BKP-377
73.2846057942,33.2837940023,Punjab,BKP-378
73.2055302703,30.6532784926,Punjab,BKP-379
73.28465071,33.1921209275,Punjab,BKP-380
73.207305764,32.2230633148,Punjab,BKP-381
73.2074854271,32.2217158418,Punjab,BKP-382
73.2046715866,30.6028750789,Punjab,BKP-383
73.3027068472,31.6298159011,Punjab,BKP-384
73.3009487159,30.5449526152,Punjab,BKP-385
73.2976587535,30.7320713759,Punjab,BKP-386
73.2859083514,31.4775514605,Punjab,BKP-387
73.2967330506,32.2402660525,Punjab,BKP-388
73.2975479509,32.9508591084,Punjab,BKP-389
73.2836895126,33.0983547782,Punjab,BKP-390
73.2445858483,32.3062473101,Punjab,BKP-391
73.248682166,33.3632679554,Punjab,BKP-392
73.2865708589,33.1071066148,Punjab,BKP-393
73.2875173926,33.1041362296,Punjab,BKP-394
73.293822509,31.504235916,Punjab,BKP-395
73.3010240032,31.5374880544,Punjab,BKP-396
67.7824296696,26.8046101747,Sindh,BKP-397
73.2577012515,29.903074262,Punjab,BKP-398
73.2591984436,30.7202342462,Punjab,BKP-399
73.2565334416,30.7722841309,Punjab,BKP-400
73.2479545306,32.5586739049,Punjab,BKP-401
73.2474791721,32.482852352,Punjab,BKP-402
73.2659766408,33.1915901048,Punjab,BKP-403
73.2590815896,31.6505899898,Punjab,BKP-404
73.2574590969,31.7725796812,Punjab,BKP-405
73.2605758604,31.3704722786,Punjab,BKP-406
73.2567430485,31.5406118323,Punjab,BKP-407
73.263645985,31.8754126577,Punjab,BKP-408
73.2634953851,31.8721650318,Punjab,BKP-409
73.2648877737,32.4203782669,Punjab,BKP-410
73.2727704904,32.4952573374,Punjab,BKP-411
73.5771421665,30.6833958336,Punjab,BKP-412
73.5824263741,32.4420540863,Punjab,BKP-413
73.5816337429,32.4374013416,Punjab,BKP-414
73.5748789916,31.5096053783,Punjab,BKP-415
73.5817235745,32.1997969489,Punjab,BKP-416
73.5771197086,32.6479514722,Punjab,BKP-417
73.57705579,32.6435992499,Punjab,BKP-418
73.5950424196,31.3034394637,Punjab,BKP-419
73.5921889475,30.9035279939,Punjab,BKP-420
73.5898982435,31.7565355217,Punjab,BKP-421
73.589628749,31.756702935,Punjab,BKP-422
73.5947990525,32.5408173933,Punjab,BKP-423
73.5961088688,32.441276347,Punjab,BKP-424
73.5979437798,32.4408766988,Punjab,BKP-425
73.5966850155,32.4363098885,Punjab,BKP-426
73.5946447473,31.7267161997,Punjab,BKP-427
73.5976137737,31.9808093088,Punjab,BKP-428
73.5942858045,31.7027141864,Punjab,BKP-429
73.544847732,32.6738828401,Punjab,BKP-430
73.5449613425,32.6683423485,Punjab,BKP-431
73.6025131567,30.9732180104,Punjab,BKP-432
73.5630026839,32.6092939712,Punjab,BKP-433
73.560361637,32.5456662996,Punjab,BKP-434
73.5957988917,30.9840183267,Punjab,BKP-435
73.5942775306,30.946954052,Punjab,BKP-436
73.595863057,30.9333574513,Punjab,BKP-437
73.6004085324,30.9333969771,Punjab,BKP-438
73.5464197838,31.1823201424,Punjab,BKP-439
73.5560018135,32.3701624425,Punjab,BKP-440
73.5547788439,32.367978118,Punjab,BKP-441
73.5545822031,33.029930103,Punjab,BKP-442
73.5577998051,33.0189094077,Punjab,BKP-443
73.556354094,33.0167750683,Punjab,BKP-444
73.5587435466,33.0150236837,Punjab,BKP-445
73.5561985873,33.0140555886,Punjab,BKP-446
73.5680018085,32.5911230492,Punjab,BKP-447
73.5631643807,32.5109464139,Punjab,BKP-448
73.5664714642,32.6345109645,Punjab,BKP-449
73.5695112146,32.6334350124,Punjab,BKP-450
73.6337523624,32.5030028568,Punjab,BKP-451
73.634185187,33.302703539,Azad Kashmir,BKP-452
73.5706313336,32.6489975539,Punjab,BKP-453
73.5721197674,32.6421314781,Punjab,BKP-454
73.5671109792,32.620160259,Punjab,BKP-455
73.5722822808,32.6172934688,Punjab,BKP-456
73.5707450728,32.6152255742,Punjab,BKP-457
73.6494846192,31.6958252311,Punjab,BKP-458
73.645120134,31.4780945329,Punjab,BKP-459
73.6373921726,31.2675882291,Punjab,BKP-460
73.6539481233,30.6404114472,Punjab,BKP-461
73.6485582316,30.660264215,Punjab,BKP-462
73.652106577,30.6519547986,Punjab,BKP-463
73.6600240012,30.8458030704,Punjab,BKP-464
73.6569431065,30.8443918988,Punjab,BKP-465
73.6580037526,30.8443210904,Punjab,BKP-466
73.653673773,30.8429269165,Punjab,BKP-467
73.6511157881,32.4913134691,Punjab,BKP-468
73.6483758464,32.4194908403,Punjab,BKP-469
73.6439219266,32.3966677341,Punjab,BKP-470
73.603148394,32.6738379243,Punjab,BKP-471
73.6110629259,32.6639995005,Punjab,BKP-472
73.6097510113,32.6604081108,Punjab,BKP-473
73.6104696635,32.6473825392,Punjab,BKP-474
73.6103757488,32.6514657905,Punjab,BKP-475
73.653251929,31.2191914932,Punjab,BKP-476
73.6553854278,31.55040483,Punjab,BKP-477
73.6064571886,30.6204838198,Punjab,BKP-478
73.6150510715,33.0662220404,Punjab,BKP-479
73.6204768958,33.0269207468,Punjab,BKP-480
73.6146543156,33.0213137622,Punjab,BKP-481
73.6120866311,30.6466996542,Punjab,BKP-482
73.6053268085,33.0057205061,Punjab,BKP-483
73.6116374734,32.5170819073,Punjab,BKP-484
73.6109188212,32.4293614198,Punjab,BKP-485
73.6075052231,32.4246452645,Punjab,BKP-486
73.6055674287,32.4231983353,Punjab,BKP-487
