OBJECTID,Id,x,y
"186","0",77.2139756672,29.0915630555
"187","0",77.2167276247,29.0920440106
"188","0",77.2129360389,29.0970315609
"189","0",77.2333494479,29.0892850797
"190","0",77.2218266275,29.0671149618
"191","0",77.1738582424,29.2668455972
"192","0",77.1764022740,29.2679154043
"193","0",77.2065653593,29.2605061923
"194","0",77.2134277219,29.2549062466
"195","0",77.2219602223,29.3243413366
"196","0",77.2401257051,29.3195004921
"197","0",77.2474003314,29.3343921658
"198","0",77.2527232295,29.3290806225
"199","0",77.2484335997,29.3353989391
"200","0",77.2464129868,29.3377281740
"201","0",77.2449684985,29.3368911112
"202","0",77.2380200298,29.3458559663
"203","0",77.1947193035,29.3632311743
"204","0",77.2121491829,29.4102248915
"205","0",77.2115360055,29.4090088305
"206","0",77.2114707743,29.4078041201
"207","0",77.2104009761,29.4082928251
"208","0",77.2049998006,29.4070426451
"209","0",77.2064432460,29.4040817028
"210","0",77.2477737827,28.9363647496
"211","0",77.2497103456,28.9329215769
"212","0",77.2539096282,28.9393796611
"213","0",77.2586185340,28.9440534935
"214","0",77.2598212408,28.9435540096
"215","0",77.2677509554,28.9438572679
"216","0",77.2560630867,28.9213188503
"217","0",77.2533233598,28.9203824681
"218","0",77.2499574102,28.9168195717
"219","0",77.2455738472,28.9143642995
"220","0",77.2479352306,28.9106527305
"221","0",77.2497103456,28.9062286531
"222","0",77.2443898937,28.9052471642
"223","0",77.2565392773,28.9118318813
"224","0",77.2470741738,28.8949713151
"225","0",77.2515621067,28.8966160908
"226","0",77.2522380692,28.9002325055
"227","0",77.2567838957,28.8964490447
"228","0",77.2547250236,28.8947357330
"229","0",77.2522176846,28.8928617669
"230","0",77.2486911018,28.8859902686
"231","1",77.2514838293,28.8896134793
"232","0",77.2571067916,28.8878322319
"233","1",77.2605958661,28.8897741113
"234","0",77.2664870941,28.8911662451
"235","0",77.2660182418,28.8924512751
"236","0",77.2628993567,28.8844552740
"237","0",77.2585166094,28.8783864693
"238","0",77.2692186661,28.8935578154
"239","0",77.2525642268,28.8819206992
"240","0",77.2770872261,28.8486799145
"241","0",77.2794926414,28.8508939165
"242","0",77.2850169408,28.8509474805
"243","1",77.2862196484,28.8480371308
"244","0",77.2837123094,28.8436625249
"245","1",77.2913770202,28.8463765871
"246","1",77.2949443730,28.8481264060
"247","0",77.2991436565,28.8438589392
"248","0",77.2931276732,28.8346106136
"249","1",77.2983227167,28.8330677171
"250","0",77.2928243463,28.8265730162
"251","1",77.2883192897,28.8276623996
"252","0",77.2956782283,28.8235191096
"253","0",77.2903781619,28.8218224558
"254","0",77.2908266287,28.8181433014
"255","0",77.3060337428,28.7961728310
"256","0",77.3131480621,28.7968695268
"257","0",77.3126588252,28.7909742618
"258","0",77.3171434972,28.7930823045
"259","0",77.3196712208,28.7949044760
"260","0",77.3162057926,28.7885088703
"261","0",77.3177754279,28.7867044524
"262","0",77.3211797014,28.7892413481
