brickid,latitude,longitude,state,type,schools_1km,hospitals_1km,pop_1km,grids_pop,total_prod(kg_day),pm2.5(kg_day),pm10(kg_day,nox(kg_day),sox(kg_day,total_prod(kg/season),pm2.5(kg_s),pm10(kg_s),nox(kg_s),sox(kg_s)
BKP-260,73.3050141,31.31766789,Punjab,,0,0,2480,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2600,70.5262838,28.61255452,Punjab,,0,0,2515,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2601,70.52484649,28.68037733,Punjab,,0,0,4975,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2602,70.6408684,28.61965571,Punjab,,0,0,3598,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2603,70.63976977,29.71215891,Punjab,,0,0,1682,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2604,70.63898643,29.91852528,Punjab,,0,0,1682,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2605,70.60201178,28.54702242,Punjab,,0,0,1987,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2606,70.5926693,29.38744129,Punjab,,0,0,5815,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2607,70.59275913,29.38555483,Punjab,,0,0,7597,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2608,70.60394315,29.68882607,Punjab,,0,0,4118,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2609,70.60897372,29.60314925,Punjab,,0,0,200,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-261,73.30334208,33.12424037,Punjab,,0,0,4041,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2610,70.93859929,29.81680231,Punjab,,0,0,149,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2611,70.93802661,30.7149267,Punjab,,0,0,1019,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2612,70.89391933,30.73653118,Punjab,,0,0,376,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2613,70.97342023,30.95230651,Punjab,,0,0,2480,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2614,70.91166106,31.14760026,Punjab,,0,0,2480,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2615,70.97905716,29.35514685,Punjab,,0,0,4253,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2616,70.99152128,29.66564953,Punjab,,0,0,4098,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2617,70.99762983,29.11210765,Punjab,,0,0,4653,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2618,70.95442086,31.36602562,Punjab,,0,0,5415,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2619,70.94579704,29.13151126,Punjab,,0,0,3697,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-262,73.30384471,33.12073481,Punjab,,0,0,4242,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2620,70.95037844,28.93783449,Punjab,,0,0,3578,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2621,70.95229485,30.99331461,Punjab,,0,0,2452,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2622,70.96915323,30.16313654,Punjab,,0,0,4145,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2623,70.76739162,29.21474018,Punjab,,0,0,2741,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2624,70.76779586,29.21469526,Punjab,,0,0,674,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2625,70.87842339,30.7140733,Punjab,,0,0,3756,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2626,70.87078771,29.49735016,Punjab,,0,0,2765,3,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2627,70.86336006,29.51733532,Punjab,,0,0,4087,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2628,70.82543518,30.10471971,Punjab,,0,0,3662,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2629,70.83665173,28.74101361,Punjab,,0,0,2161,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-263,73.30980553,31.49498776,Punjab,,0,0,5870,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2630,70.84907842,28.75266177,Punjab,,0,0,3903,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2631,70.84509589,28.61767492,Punjab,,0,0,3587,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2632,70.84491623,28.61713593,Punjab,,0,0,2589,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2633,71.1551045,30.0083119,Punjab,,0,0,1694,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2634,71.15373906,30.00521271,Punjab,,0,0,1593,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2635,71.16265035,30.00399998,Punjab,,0,0,10888,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2636,71.17055552,29.99946349,Punjab,,0,0,160,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2637,71.1684509,29.92997239,Punjab,,0,0,5448,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2638,71.16539021,30.01626199,Punjab,,0,0,1091,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2639,71.16561479,30.01015344,Punjab,,0,0,2861,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-264,73.31279411,31.48516182,Punjab,,0,0,3271,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2640,71.17971834,29.56427465,Punjab,,0,0,3377,6,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2641,71.17932532,29.99894696,Punjab,,0,0,3678,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2642,71.17472627,30.02206895,Punjab,,2,0,1586,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2643,71.12626858,29.47260158,Punjab,,0,0,1442,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2644,71.13224237,29.5777419,Punjab,,0,0,1012,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2645,71.14261792,29.10676268,Punjab,,0,0,3117,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2646,71.14177949,29.10480136,Punjab,,0,0,3192,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2647,71.14131536,29.10415756,Punjab,,0,0,1169,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2648,71.14221367,29.10393299,Punjab,,0,0,2825,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2649,71.13641954,29.47278124,Punjab,,0,0,4299,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-265,73.30901302,31.48161933,Punjab,,0,0,4299,4,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
BKP-2650,71.13471274,29.47215242,Punjab,,0,0,4404,5,33210,225.828,322.137,156.087,152.766,7140150,48553.02,69259.455,33558.705,32844.69
