source_id,iso3_count,original_i,temporal_g,gas,emissions_,emission_1,emission_2,capacity_f,source_nam,lat,lon,other2,other3,other4,other5,other6,other2_def,other3_def,other4_def,other5_def,other6_def,geometry_r
"3143739",BGD,oil-and-gas-refining,annual,co2e_20yr,210128.7605,0.000298107,,0.458333333,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,162.4572651,24.85153009,2.16e-05,0.001129341,5131.63331,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,co2e_20yr,245224.2618,0.000298107,,0.534883721,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,189.5907195,29.00220847,2.52e-05,0.001317963,5988.713715,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,co2e_100yr,245222.0674,0.000298107,,0.534883721,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,189.5907195,29.00220847,2.52e-05,0.001317963,5988.713715,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,n2o,2.3280114,0.000298107,T of N2O per barrel refined,0.534883721,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,189.5907195,29.00220847,2.52e-05,0.001317963,5988.713715,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,ch4,11.86466339,0.001519299,T of CH4 per barrel refined,0.534883721,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,189.5907195,29.00220847,2.52e-05,0.001317963,5988.713715,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,co2,242584.4243,31.06352068,T of CO2 per barrel refined,0.534883721,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,189.5907195,29.00220847,2.52e-05,0.001317963,5988.713715,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,co2e_20yr,266548.1106,0.000298107,,0.581395349,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,206.0768691,31.52413964,2.74e-05,0.001432568,6509.47143,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,co2e_100yr,266545.7254,0.000298107,,0.581395349,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,206.0768691,31.52413964,2.74e-05,0.001432568,6509.47143,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,n2o,2.530447174,0.000298107,T of N2O per barrel refined,0.581395349,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,206.0768691,31.52413964,2.74e-05,0.001432568,6509.47143,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
"3143739",BGD,oil-and-gas-refining,annual,ch4,12.89637325,0.001519299,T of CH4 per barrel refined,0.581395349,Bashundhara Oil and Gas Company Refinery,23.668397,90.442809,206.0768691,31.52413964,2.74e-05,0.001432568,6509.47143,acidification,particulate matter formation,human health cancer,human health non-cancer,ecotoxicity,trace_90.442809_23.668397
