plnt_nm,country,cap_all,ttl_cp_,stts_ll,units,status,prod_kw,nx_tn_y,sx_tn_y,p10_tn_,p25_tn_,long,lat
Nabinagar Thermal Power Project,India,"250, 250, 250, 250",1000,"operating, operating, operating, operating",4,operating,8760000000,37668,63072,3241.2,1664.4,84.0887384,24.7050812
National Capital Dadri Thermal Power Plant,India,"210, 210, 210, 210, 490, 490",1820,"operating, operating, operating, operating, operating, operating",6,operating,15943200000,68555.76,114791.04,5898.984,3029.208,77.6078,28.603
Obra Thermal Power Station,India,"200, 200, 200, 200, 660, 660, 200",2320,"operating, operating, operating, operating, construction, construction, operating",7,operating,20323200000,87389.76,146327.04,7519.584,3861.408,82.9803325,24.4445803
Panipat power station,India,"110, 110, 110, 110, 210, 210, 250, 250",1360,"operating, operating, operating, operating, operating, operating, operating, operating",8,operating,11913600000,51228.48,85777.92,4408.032,2263.584,76.870271,29.398842
Panki Thermal Power Station,India,"660, 105, 105",870,"construction, operating, operating",3,construction,7621200000,32771.16,54872.64,2819.844,1448.028,80.241,26.4766
Rajghat Power Station,India,"67.5, 67.5",135,"operating, operating",2,operating,1182600000,5085.18,8514.72,437.562,224.694,77.254044,28.637429
Rajiv Gandhi Thermal Power Project,India,"600, 600",1200,"operating, operating",2,operating,10512000000,45201.6,75686.4,3889.44,1997.28,75.857538,29.3469803
Rajpura Thermal Power Project,India,"700, 700",1400,"operating, operating",2,operating,12264000000,52735.2,88300.8,4537.68,2330.16,76.5775931,30.5589628
Renusagar power station,India,"67.5, 75, 67.5, 74, 74, 68, 74, 74, 76.7, 75",725.7,"operating, operating, operating, operating, operating, operating, operating, operating, operating, operating",10,operating,6357132000,27335.6676,45771.3504,2352.13884,1207.85508,82.7912794,24.1810932
Rihand power station,India,"500, 500, 500, 500, 500, 500",3000,"operating, operating, operating, operating, operating, operating",6,operating,26280000000,113004,189216,9723.6,4993.2,82.7915,24.027
Rosa Thermal Power Plant,India,"300, 300, 300, 300",1200,"operating, operating, operating, operating",4,operating,10512000000,45201.6,75686.4,3889.44,1997.28,79.9371618,27.8194455
Sagardighi Thermal Power Station,India,"300, 300, 500, 500, 660",2260,"operating, operating, operating, operating, construction",5,operating,19797600000,85129.68,142542.72,7325.112,3761.544,88.1040001,24.3688141
Singrauli Super Thermal Power Station,India,"200, 200, 200, 200, 200, 500, 500, 800, 800",3600,"operating, operating, operating, operating, operating, operating, operating, permitted, permitted",9,operating,31536000000,135604.8,227059.2,11668.32,5991.84,82.7063552,24.1042119
Southern CESC power station,India,"67.5, 67.5",135,"operating, operating",2,operating,1182600000,5085.18,8514.72,437.562,224.694,88.291512,22.5495911
Suratgarh Super Thermal Power Station,India,"250, 250, 250, 250, 250, 250, 660, 660",2820,"operating, operating, operating, operating, operating, operating, operating, operating",8,operating,24703200000,106223.76,177863.04,9140.184,4693.608,74.018741,29.181766
Talwandi Sabo Power Project,India,"660, 660, 660",1980,"operating, operating, operating",3,operating,17344800000,74582.64,124882.56,6417.576,3295.512,75.2389294,29.9245796
Tanda power station,India,"660, 660, 110, 110, 110, 110",1760,"operating, operating, operating, operating, operating, operating",6,operating,15417600000,66295.68,111006.72,5704.512,2929.344,82.6003754,26.5891987
The Durgapur Projects Limited,India,"250, 110, 30, 30, 77, 77, 77, 300",951,"operating, operating, operating, operating, operating, operating, operating, operating",8,operating,8330760000,35822.268,59981.472,3082.3812,1582.8444,87.302979,23.518135
Titagarh power station,India,"60, 60, 60, 60",240,"operating, operating, operating, operating",4,operating,2102400000,9040.32,15137.28,777.888,399.456,88.3703092,22.7319741
Utraula power station,India,"45, 45",90,"operating, operating",2,operating,788400000,3390.12,5676.48,291.708,149.796,82.18,27.43
Welspun Energy Mirzapur power station,India,"660, 660",1320,"permitted, permitted",2,permitted,11563200000,49721.76,83255.04,4278.384,2197.008,82.678633,24.982358
Dera Ghazi Khan Cement power station,Pakistan,30,30,operating,1,operating,262800000,1130.04,1892.16,97.236,49.932,70.5394,30.33167
Fauji Fertilizer power station,Pakistan,118,118,operating,1,operating,1033680000,4444.824,7442.496,382.4616,196.3992,67.41962,24.83309
Hub Cement power station,Pakistan,30,30,operating,1,operating,262800000,1130.04,1892.16,97.236,49.932,66.78361,25.15589
Hubco power station,Pakistan,"660, 660",1320,"operating, operating",2,operating,11563200000,49721.76,83255.04,4278.384,2197.008,66.68876,24.914675
Jamshoro power station,Pakistan,"660, 660",1320,"construction, permitted",2,construction,11563200000,49721.76,83255.04,4278.384,2197.008,68.266111,25.472222
Keti Bandar power station,Pakistan,"660, 660",1320,"pre-permit, pre-permit",2,pre-permit,11563200000,49721.76,83255.04,4278.384,2197.008,67.45,24.15
Muzaffargarh sugar mill power station,Pakistan,"60, 60",120,"operating, operating",2,operating,1051200000,4520.16,7568.64,388.944,199.728,70.96697,30.29455
Port Qasim EPC power station,Pakistan,"660, 660",1320,"operating, operating",2,operating,11563200000,49721.76,83255.04,4278.384,2197.008,67.36939,24.7845
Port Qasim Lucky power station,Pakistan,660,660,operating,1,operating,5781600000,24860.88,41627.52,2139.192,1098.504,67.2745601,24.8128054
Sahiwal power station,Pakistan,"660, 660",1320,"operating, operating",2,operating,11563200000,49721.76,83255.04,4278.384,2197.008,73.23802,30.71422
Siddiqsons power station,Pakistan,330,330,permitted,1,permitted,2890800000,12430.44,20813.76,1069.596,549.252,70.3670883,24.7836176
ThalNova power station,Pakistan,330,330,operating,1,operating,2890800000,12430.44,20813.76,1069.596,549.252,70.3883694,24.8154559
