plant_name,city,country,Latitude,Longitude,status,planty_type
Shreyans Industries Limited,LUDHIANA,INDIA,30.8820454,75.9495021,Operating,pulp and paper
"Shreyans Industries Limited, Shree Rishabh Papers",BANAH,INDIA,31.030237,76.4620928,Operating,pulp and paper
"Shreyans Industries Limited, Shreyans Papers",AHMEDGARH,INDIA,30.6795612,75.8243427,Operating,pulp and paper
Sikka Papers Ltd,SHAMLI,INDIA,29.5050113,77.3637748,Operating,pulp and paper
Silverton Papers Ltd,MUZAFFARNAGAR,INDIA,29.4713791,77.7524847,Operating,pulp and paper
Sonali Paper and Board Mills Ltd,DHAKA,BANGLADESH,23.7263288,90.4158919,Operating,pulp and paper
SPMCIL Security Printing & Minting Corporation of India Limited,DELHI,INDIA,28.6256874,77.2198801,Operating,pulp and paper
Star Paper Mills Ltd,KOLKATA (CALCUTTA),INDIA,22.577148,88.3488211,Operating,pulp and paper
"Star Paper Mills Ltd, Saharanpur Mill",SAHARANPUR,INDIA,29.95746,77.5563293,Operating,pulp and paper
Straw Board Manufacturing Co Ltd,SAHARANPUR,INDIA,29.7163758,77.84986,Operating,pulp and paper
Sultan Paper Board Mills (Pvt) Ltd,GUJRANWALA,PAKISTAN,32.0757408,74.1969753,Operating,pulp and paper
Supreme Paper Mills Ltd,KOLKATA (CALCUTTA),INDIA,22.5408685,88.3709194,Operating,pulp and paper
"Supreme Paper Mills Ltd, Chakdaha Mill",CHAKDAHA,INDIA,23.0849296,88.4972892,Operating,pulp and paper
Three Star Paper Mills Ltd,TEHSIL DADRI,INDIA,28.555638,77.554226,Operating,pulp and paper
Tirupati Balaji Fibres Limited,MUZAFFARNAGAR,INDIA,29.4676905,77.7115687,Operating,pulp and paper
Upper India Couper Paper Mills Co Ltd,LUCKNOW,INDIA,26.8466937,80.946166,Operating,pulp and paper
Web Coats Ltd,DHAKA,BANGLADESH,23.7212942,90.4209501,Operating,pulp and paper
"Zaman Paper & Board Mills Private Limited, A company of Flying Group of Companies",SHEIKHUPURA,PAKISTAN,31.67629381,74.09331203,Operating,pulp and paper
