plant_name,city,country,latitude,longitude,status,plant_type,capacity_p,capacity_1
Shree Bhawani Paper Mills Ltd,Allahabad,India,25.4601917,81.8454779,Operating,Paper,N/A,No information
"Shree Bhawani Paper Mills Ltd, Rae Bareli Mill",Rae Bareli,India,26.2212165,81.2589529,Operating,Paper,N/A,No information
Shree Jagdambe Paper Mills Ltd,Sirsa,India,29.5139323,75.0363827,Operating,Paper,N/A,No information
Shree Krishna Paper Mills & Ind. Ltd,Delhi,India,28.6442998,77.2442405,Operating,Paper and packaging,N/A,No information
"Shree Krishna Paper Mills & Ind. Ltd, Bansal Paper Mills",Bahadurgarh,India,30.667842,76.844194,Operating,Paper,N/A,No information
Shreyans Industries Limited,Ludhiana,India,30.8820454,75.9495021,Operating,Paper,N/A,No information
"Shreyans Industries Limited, Shree Rishabh Papers",Banah,India,31.030237,76.4620928,Operating,Paper,N/A,No information
"Shreyans Industries Limited, Shreyans Papers",Ahmedgarh,India,30.6795612,75.8243427,Operating,Paper,N/A,No information
Sikka Papers Ltd,Shamli,India,29.5050113,77.3637748,Operating,Paper,N/A,No information
Silverton Papers Ltd,Muzaffarnagar,India,29.4713791,77.7524847,Operating,Paper,N/A,No information
Sonali Paper and Board Mills Ltd,Dhaka,Bangladesh,23.7263288,90.4158919,Operating,Paper and packaging,N/A,"32,000"
SPMCIL Security Printing of India Limited,Delhi,India,28.6256874,77.2198801,Operating,Paper,N/A,No information
Star Paper Mills Ltd,Kolkata,India,22.577148,88.3488211,Operating,Paper,N/A,No information
"Star Paper Mills Ltd, Saharanpur Mill",Saharanpur,India,29.95746,77.5563293,Operating,Pulp and paper,No information,"75,000"
Straw Board Manufacturing Co Ltd,Saharanpur,India,29.7163758,77.84986,Operating,Paper and packaging,N/A,No information
Sultan Paper Board Mills (Pvt) Ltd,Gujranwala,Pakistan,32.0757408,74.1969753,Operating,Paper,N/A,No information
Supreme Paper Mills Ltd,Kolkata,India,22.5408685,88.3709194,Operating,Paper,N/A,No information
"Supreme Paper Mills Ltd, Chakdaha Mill",Chak Daha,India,23.0849296,88.4972892,Operating,Paper,N/A,No information
Three Star Paper Mills Ltd,Tehsil Dadri,India,28.555638,77.554226,Operating,Paper,N/A,No information
Tirupati Balaji Fibres Limited,Muzaffar Nagar,India,29.4676905,77.7115687,Operating,Paper,N/A,No information
Upper India Couper Paper Mills Co Ltd,Lucknow,India,26.8466937,80.946166,Operating,Paper,N/A,No information
Web Coats Ltd,Dhaka,Bangladesh,23.7212942,90.4209501,Operating,Paper,N/A,No information
"Zaman Paper & Board Mills Private Limited, A company of Flying Group of Companies",Sheikhupura,Pakistan,31.67629381,74.09331203,Operating,Pulp and paper,"18,000","12,000"
