level,id,name0,name1,name,population,pm2023,population_weighted_exposure,normalised_exposure
2,17392,India,Bihar,Sheohar,1312035,64.62,0.060645511,0.050944422
2,17393,India,Bihar,Sitamarhi,3590103,63.87,0.164017472,0.137780607
2,17394,India,Bihar,Siwan,4004423,66.95,0.191768299,0.161092305
2,17395,India,Bihar,Supaul,2688251,57.74,0.111028094,0.093267613
2,17396,India,Bihar,Vaishali,4209332,68.17,0.205254536,0.172421231
2,17397,India,Chandigarh,Chandigarh,1225015,44.82,0.039273495,0.032991155
2,17398,India,Chhattisgarh,Balod,751099,53.36,0.028668125,0.024082262
2,17399,India,Chhattisgarh,Baloda Bazar,1504163,62.92,0.067697075,0.056867991
2,17400,India,Chhattisgarh,Balrampur,971982,29.73,0.02066995,0.017363505
2,17401,India,Chhattisgarh,Bastar,1116798,31.63,0.025267374,0.021225508
2,17402,India,Chhattisgarh,Bemetara,859164,66.61,0.04093566,0.034387434
2,17403,India,Chhattisgarh,Bijapur,306877,26.32,0.005777454,0.00485327
2,17404,India,Chhattisgarh,Bilaspur,2334931,54.49,0.091007492,0.076449584
2,17405,India,Chhattisgarh,Dantewada,245695,26.23,0.004609787,0.003872388
2,17406,India,Chhattisgarh,Dhamtari,959176,55.08,0.037790142,0.031745086
2,17407,India,Chhattisgarh,Durg,2372763,73.17,0.124186305,0.104320986
2,17408,India,Chhattisgarh,Gariaband,611422,42.8,0.018718503,0.01572422
2,17409,India,Chhattisgarh,Janjgir-Champa,1939854,57.87,0.080298756,0.067453858
2,17410,India,Chhattisgarh,Jashpur,1013553,31.34,0.022721225,0.019086651
2,17411,India,Chhattisgarh,Kabirdham,950864,53.73,0.036544459,0.030698667
2,17412,India,Chhattisgarh,Kondagaon,604888,33.47,0.014481614,0.012165079
2,17413,India,Chhattisgarh,Korba,1443750,44.53,0.045986566,0.038630378
2,17414,India,Chhattisgarh,Koriya,779415,30.99,0.01727733,0.014513582
2,17415,India,Chhattisgarh,Mahasamund,1242253,55.86,0.049636057,0.041696082
2,17416,India,Chhattisgarh,Mungeli,836436,57.92,0.034653536,0.029110223
2,17417,India,Chhattisgarh,Narayanpur,142834,31.76,0.003244878,0.002725815
2,17418,India,Chhattisgarh,Raigarh,1785559,47.75,0.060986522,0.051230884
2,17419,India,Chhattisgarh,Raipur,2718534,73.89,0.143683442,0.120699287
2,17420,India,Chhattisgarh,Rajnandgaon,1813138,54.08,0.070138073,0.058918517
2,17421,India,Chhattisgarh,Sukma,338213,26.48,0.006406113,0.005381366
2,17422,India,Chhattisgarh,Surajpur,983964,32.14,0.022620978,0.019002439
2,17423,India,Chhattisgarh,Surguja,865732,31.28,0.019370307,0.016271758
2,17424,India,Chhattisgarh,Uttar Bastar Kanker,908561,39.45,0.025638191,0.021537008
2,17425,India,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,437458,28.72,0.008986842,0.007549272
2,17426,India,Dadra and Nagar Haveli and Daman and Diu,Daman,251127,33.78,0.006067913,0.005097266
2,17427,India,Dadra and Nagar Haveli and Daman and Diu,Diu,43145,21.09,0.000650869,0.000546753
2,17428,India,Goa,North Goa,884210,27.93,0.01766496,0.014839205
2,17429,India,Goa,South Goa,691327,26.63,0.013168641,0.011062135
2,17430,India,Gujarat,Ahmadabad,8484161,36.27,0.220111506,0.184901624
2,17431,India,Gujarat,Amreli,1269632,23.52,0.021360011,0.017943181
2,17432,India,Gujarat,Anand,2428815,30.4,0.052814638,0.044366206
2,17433,India,Gujarat,Aravalli,1288598,27.62,0.025458184,0.021385795
2,17434,India,Gujarat,Banaskantha,3629032,26.7,0.069308795,0.058221894
2,17435,India,Gujarat,Bharuch,1824176,30.93,0.040358308,0.033902438
2,17436,India,Gujarat,Bhavnagar,2736701,27.54,0.053911023,0.045287209
2,17437,India,Gujarat,Botad,541038,26.11,0.010104642,0.008488265
2,17438,India,Gujarat,Chhota Udaipur,865573,30.19,0.018691885,0.015701859
2,17439,India,Gujarat,Dahod,2390628,28.52,0.048769445,0.040968097
2,17440,India,Gujarat,Dang,254001,23.67,0.00430051,0.003612584
2,17441,India,Gujarat,Devbhumi Dwarka,801486,22.24,0.0127502,0.010710629
2,17442,India,Gujarat,Gandhinagar,1362975,30.55,0.029784162,0.025019773
2,17443,India,Gujarat,Gir Somnath,1165998,21.19,0.017673194,0.014846122
2,17444,India,Gujarat,Jamnagar,1751791,24.83,0.031113244,0.02613625
2,17445,India,Gujarat,Junagadh,2536498,21.67,0.039316941,0.033027652
2,17446,India,Gujarat,Kachchh,2446276,22.59,0.039528285,0.033205189
2,17447,India,Gujarat,Kheda,2686474,30.55,0.058705683,0.049314896
2,17448,India,Gujarat,Mahesana,2352521,27.99,0.047100194,0.039565866
2,17449,India,Gujarat,Mahisagar,1277523,28.88,0.026390779,0.022169208
2,17450,India,Gujarat,Morbi,1192381,26.58,0.02267025,0.01904383
2,17451,India,Gujarat,Narmada,582989,29.43,0.012272609,0.010309436
2,17452,India,Gujarat,Navsari,1549044,30.73,0.034049646,0.028602934
2,17453,India,Gujarat,Panch Mahals,1576430,29.47,0.033230824,0.027915094
2,17454,India,Gujarat,Patan,1773662,27.42,0.034787611,0.029222851
2,17455,India,Gujarat,Porbandar,689812,22.83,0.011264786,0.009462828
2,17456,India,Gujarat,Rajkot,3592105,25.76,0.066188291,0.055600558
2,17457,India,Gujarat,Sabar Kantha,1547663,27.88,0.030864231,0.02592707
2,17458,India,Gujarat,Surat,7100766,34.99,0.177719643,0.149290926
2,17459,India,Gujarat,Surendranagar,1717636,25.75,0.031636953,0.026576185
2,17460,India,Gujarat,Tapi,941023,30.61,0.02060392,0.017308038
2,17461,India,Gujarat,Vadodara,4108798,33.08,0.097222454,0.081670377
2,17462,India,Gujarat,Valsad,2023662,31.31,0.045321819,0.038071967
2,17463,India,Haryana,Ambala,1421315,47.54,0.048332116,0.040600725
2,17464,India,Haryana,Bhiwani,1332430,51.8,0.049369696,0.041472329
2,17465,India,Haryana,Charkhi Dadri,570943,54.76,0.022363639,0.018786266
2,17466,India,Haryana,Faridabad,2547872,74.39,0.135574638,0.113887598
2,17467,India,Haryana,Fatehabad,1100567,49.15,0.038692456,0.032503062
2,17468,India,Haryana,Gurugram,1823659,77.29,0.100821517,0.08469372
