city,state,country,iso3,country_code,region,sub_region,latitude,longitude,accuracy,status,plant_type,primary_production_type,primary_product,capacity,capacity_source,year
Pune,Maharashtra,India,IND,356,Asia,Southern Asia,18.524061000000000,73.913357000000005,Exact,Operating,,,,,,
Salav,Maharashtra,India,IND,356,Asia,Southern Asia,18.530853000000000,72.947091000000000,Exact,Operating,,,,,,
Murtazanagar,Uttar Pradesh,India,IND,356,Asia,Southern Asia,26.581306000000001,80.560423000000000,Exact,Operating,,,,,,
Donvat,Maharashtra,India,IND,356,Asia,Southern Asia,18.780093000000001,73.260734999999997,Exact,Operating,,,,,,
Unnao,Uttar Pradesh,India,IND,356,Asia,Southern Asia,26.561084000000001,80.532490999999993,Exact,Operating,,,,,,
Salanpur,West Bengal,India,IND,356,Asia,Southern Asia,23.776212999999998,86.866906000000000,Exact,Operating,,,,,,
Lunva,Gujarat,India,IND,356,Asia,Southern Asia,23.262678999999999,70.251109000000000,Exact,Operating,,,,,,
Kutch,Gujarat,India,IND,356,Asia,Southern Asia,23.177972000000000,70.167556000000005,Exact,Operating,,,,,,
Kutch,Gujarat,India,IND,356,Asia,Southern Asia,23.113189999999999,70.085397999999998,Exact,Operating,,,,,,
Koppal,Karnataka,India,IND,356,Asia,Southern Asia,15.328377000000000,76.205088000000003,Exact,Operating,,,,,,
Mithi Rohar,Gujarat,India,IND,356,Asia,Southern Asia,23.100377000000002,70.181141999999994,Exact,Operating,,,,,,
Tiruvallur,Tamil Nadu,India,IND,356,Asia,Southern Asia,13.386722000000001,80.108700999999996,Exact,Operating,,,,,,
Pappankuppam,Tamil Nadu,India,IND,356,Asia,Southern Asia,13.425077000000000,80.087620000000001,Exact,Operating,,,,,,
Sri Potti Sriramulu Nellore District,Andhra Pradesh,India,IND,356,Asia,Southern Asia,14.137428999999999,79.989552000000003,Exact,Operating,,,,,,
Husenapuram,Andhra Pradesh,India,IND,356,Asia,Southern Asia,14.875643000000000,78.043235999999993,Exact,Operating,,,,,,
Narayanadevarake,Karnataka,India,IND,356,Asia,Southern Asia,15.186362000000001,76.316509999999994,Exact,Operating,,,,,,
Curtorim,Goa,India,IND,356,Asia,Southern Asia,15.269352000000000,74.027732000000000,Exact,Operating,,,,,,
Koppal,Karnataka,India,IND,356,Asia,Southern Asia,15.289695999999999,76.227753000000007,Exact,Operating,,,,,,
Bevinhalli,Karnataka,India,IND,356,Asia,Southern Asia,15.334303000000000,76.287323000000001,Exact,Operating,,,,,,
Shiroda,Goa,India,IND,356,Asia,Southern Asia,15.339612000000001,74.010159999999999,Exact,Operating,,,,,,
Navelim,Goa,India,IND,356,Asia,Southern Asia,15.525561000000000,73.994191999999998,Exact,Operating,,,,,,
Akkinepallivari Lingotam,Telangana,India,IND,356,Asia,Southern Asia,17.189623000000001,79.220082000000005,Exact,Operating,,,,,,
Haldia,West Bengal,India,IND,356,Asia,Southern Asia,22.054667999999999,88.126161999999994,Exact,Operating,,,,,,
Jamshedpur,Jharkhand,India,IND,356,Asia,Southern Asia,22.822113999999999,86.076297999999994,Exact,Operating,,,,,,
Navsari,Gujarat,India,IND,356,Asia,Southern Asia,20.939077999999999,72.967996999999997,Exact,Operating,,,,,,
Khurunti,Odisha,India,IND,356,Asia,Southern Asia,20.974826000000000,86.045427000000004,Exact,Operating,,,,,,
Nagpur,Maharashtra,India,IND,356,Asia,Southern Asia,21.127545999999999,79.002690000000001,Exact,Operating,,,,,,
Nagpur,Maharashtra,India,IND,356,Asia,Southern Asia,21.184156999999999,79.119254999999995,Exact,Operating,,,,,,
