country,asset_type,lat,lon,status,id
India,solid-waste-disposal,29.64379324,77.04850677,Active,96
India,solid-waste-disposal,29.64379324,77.04850677,Active,97
India,solid-waste-disposal,29.64379324,77.04850677,Active,98
India,solid-waste-disposal,29.64379324,77.04850677,Active,99
India,solid-waste-disposal,29.64379324,77.04850677,Active,100
India,solid-waste-disposal,29.64379324,77.04850677,Active,101
India,solid-waste-disposal,31.3034239,75.33469581,Active,102
India,solid-waste-disposal,31.3034239,75.33469581,Active,103
India,solid-waste-disposal,31.3034239,75.33469581,Active,104
India,solid-waste-disposal,31.3034239,75.33469581,Active,105
India,solid-waste-disposal,31.3034239,75.33469581,Active,106
India,solid-waste-disposal,31.3034239,75.33469581,Active,107
India,solid-waste-disposal,31.3034239,75.33469581,Active,108
India,solid-waste-disposal,31.3034239,75.33469581,Active,109
India,solid-waste-disposal,31.3034239,75.33469581,Active,110
India,solid-waste-disposal,31.3034239,75.33469581,Active,111
India,solid-waste-disposal,26.55583075,80.52041636,Active,112
India,solid-waste-disposal,26.55583075,80.52041636,Active,113
India,solid-waste-disposal,26.55583075,80.52041636,Active,114
India,solid-waste-disposal,26.55583075,80.52041636,Active,115
India,solid-waste-disposal,26.55583075,80.52041636,Active,116
India,solid-waste-disposal,26.55583075,80.52041636,Active,117
India,solid-waste-disposal,26.55583075,80.52041636,Active,118
India,solid-waste-disposal,26.55583075,80.52041636,Active,119
India,solid-waste-disposal,26.55583075,80.52041636,Active,120
India,solid-waste-disposal,26.55583075,80.52041636,Active,121
India,solid-waste-disposal,30.72353969,76.82761512,Active,122
India,solid-waste-disposal,30.72353969,76.82761512,Active,123
India,solid-waste-disposal,30.72353969,76.82761512,Active,124
India,solid-waste-disposal,30.72353969,76.82761512,Active,125
India,solid-waste-disposal,30.72353969,76.82761512,Active,126
India,solid-waste-disposal,30.72353969,76.82761512,Active,127
India,solid-waste-disposal,30.72353969,76.82761512,Active,128
India,solid-waste-disposal,30.72353969,76.82761512,Active,129
India,solid-waste-disposal,30.72353969,76.82761512,Active,130
India,solid-waste-disposal,30.72353969,76.82761512,Active,131
India,solid-waste-disposal,28.87792439,76.55313974,Active,132
India,solid-waste-disposal,28.87792439,76.55313974,Active,133
India,solid-waste-disposal,28.87792439,76.55313974,Active,134
India,solid-waste-disposal,28.87792439,76.55313974,Active,135
India,solid-waste-disposal,28.87792439,76.55313974,Active,136
India,solid-waste-disposal,28.87792439,76.55313974,Active,137
