id,lat,lon,type,fuel,state,country,status,capacity_tonnes,emfpm10,pm10_t_yr,emfpm25,pm25_t_yr,emfso2,so2_t_yr,emfnox,Nox_t_yr
BKB-44,22.50299685,90.07471911,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-45,22.64212386,90.22374299,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-46,23.39926583,90.24312684,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-47,22.65042682,90.38851947,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-48,22.65245519,90.3885786,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-49,22.53206273,90.47593297,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-50,22.5321003,90.47649197,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-51,24.68876513,88.77463083,FCBK,biomass,Rajshahi,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-52,23.72463723,88.59952527,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-53,22.82605119,90.29339219,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-54,22.82545019,90.29473594,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-55,22.55998564,89.23836055,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-56,23.0827837,89.98286723,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-57,22.49963415,90.04606,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-58,23.08991834,89.76750631,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-59,22.45596947,89.27696699,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-60,22.60477701,90.61226582,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-61,22.602481,90.6112177,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-62,22.52729966,90.38021694,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-63,22.89616665,90.41879809,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-64,22.89612909,90.41876046,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-65,22.62695391,88.98739411,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-66,22.94920051,90.52051001,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-67,22.9464068,90.52342863,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-68,23.7793558,90.33911054,FCBK,biomass,Dhaka,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-69,22.71622757,90.34917409,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-70,22.63036455,90.36685558,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-71,22.74023166,89.10643496,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-72,22.73602936,89.10636508,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-73,23.0178713,89.60393667,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-74,23.62969774,88.83574685,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-75,22.93192997,89.02864567,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-76,23.4852506,89.39039533,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-77,23.05196114,89.67129571,FCBK,biomass,Khulna,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
BKB-78,22.40612286,90.13521759,FCBK,biomass,Barisal,Bangladesh,operating,"8,886.81",0.0007474,6.642001794,0.000404,3.59027124,0.00319,28.3489239,0.00072,6.3985032
