country,plant_name,daily_prod,nox_ton_yr,sox_ton_yr,p10_ton_yr,p25_ton_yr,cap_mw,status,coal_type,location,heat_rate,emi_factor,latitude,longitude
India,Farakka power station,1752000000,7533.6,12614.4,648.24,332.88,200,operating,subbituminous,Murshidabad,12618,96100,24.7727289,87.893707
India,Farakka power station,1752000000,7533.6,12614.4,648.24,332.88,200,operating,subbituminous,Murshidabad,12618,96100,24.7727289,87.893707
India,Farakka power station,4380000000,18834,31536,1620.6,832.2,500,operating,subbituminous,Murshidabad,10878,96100,24.7727289,87.893707
India,Farakka power station,4380000000,18834,31536,1620.6,832.2,500,operating,subbituminous,Murshidabad,10442,96100,24.7727289,87.893707
India,Farakka power station,4380000000,18834,31536,1620.6,832.2,500,operating,subbituminous,Murshidabad,9572,96100,24.7727289,87.893707
India,Feroze Gandhi Unchahar Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Raebareli,12618,94600,25.9137597,81.3272384
India,Feroze Gandhi Unchahar Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Raebareli,12618,94600,25.9137597,81.3272384
India,Feroze Gandhi Unchahar Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Raebareli,12183,94600,25.9137597,81.3272384
India,Feroze Gandhi Unchahar Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Raebareli,12183,94600,25.9137597,81.3272384
India,Feroze Gandhi Unchahar Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Raebareli,11313,94600,25.9137597,81.3272384
India,Feroze Gandhi Unchahar Power Station,4380000000,18834,31536,1620.6,832.2,500,operating,bituminous,Raebareli,8702,94600,25.9122537,81.3206291
India,Ghatampur power station,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,lignite,Kanpur Nagar,8409,101000,25.975,80.1889
India,Ghatampur power station,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,lignite,Kanpur Nagar,8409,101000,25.975,80.1889
India,Ghatampur power station,5781600000,24860.88,41627.52,2139.192,1098.504,660,construction,lignite,Kanpur Nagar,8409,101000,25.975,80.1889
India,Goindwal Sahib Thermal Power Plant,2365200000,10170.36,17029.44,875.124,449.388,270,operating,unknown,Taran Taran,10442,96100,31.3841396,75.1465032
India,Goindwal Sahib Thermal Power Plant,2365200000,10170.36,17029.44,875.124,449.388,270,operating,unknown,Taran Taran,10442,96100,31.3841396,75.1465032
India,Goindwal Sahib Thermal Power Plant,,,,,,660,pre-permit,,Taran Taran,,,31.3841396,75.1465032
India,Goindwal Sahib Thermal Power Plant,,,,,,660,pre-permit,,Taran Taran,,,31.3841396,75.1465032
India,Guru Hargobind Lehra Mohabbat Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Bathinda,12183,94600,30.26655473,75.16609669
India,Guru Hargobind Lehra Mohabbat Power Station,1839600000,7910.28,13245.12,680.652,349.524,210,operating,bituminous,Bathinda,12183,94600,30.26655473,75.16609669
India,Guru Hargobind Lehra Mohabbat Power Station,2190000000,9417,15768,810.3,416.1,250,operating,bituminous,Bathinda,11313,94600,30.26655473,75.16609669
India,Guru Hargobind Lehra Mohabbat Power Station,2190000000,9417,15768,810.3,416.1,250,operating,bituminous,Bathinda,11313,94600,30.26655473,75.16609669
India,Guru Nanak Dev Thermal Power Station (GNDTP) Stage I,,,,,,110,operating,Sub-Critical,Bathinda, , ,30.2335,74.9247
India,Guru Nanak Dev Thermal Power Station (GNDTP) Stage I,,,,,,110,operating,Sub-Critical,Bathinda, , ,30.2335,74.9247
India,Guru Nanak Dev Thermal Power Station (GNDTP) Stage I,,,,,,110,operating,Sub-Critical,Bathinda, , ,30.2335,74.9247
India,Guru Nanak Dev Thermal Power Station (GNDTP) Stage I,,,,,,120,operating,Sub-Critical,Bathinda, , ,30.2335,74.9247
India,Haldia Energy power station,5256000000,22600.8,37843.2,1944.72,998.64,600,operating,unknown,Haldia,8702,96100,22.060459,88.109748
India,Haldia Energy power station,5256000000,22600.8,37843.2,1944.72,998.64,600,operating,unknown,Haldia,8702,96100,22.060459,88.109748
India,Haldia India Power,,,,,,150,construction,unknown,South 24 Parganas,,,22.085534,88.073213
India,Haldia India Power,,,,,,150,construction,unknown,South 24 Parganas,,,22.085534,88.073213
India,Haldia India Power,,,,,,150,construction,unknown,South 24 Parganas,,,22.085534,88.073213
India,Harduaganj power station,5781600000,24860.88,41627.52,2139.192,1098.504,660,operating,unknown,Aligarh,8409,96100,28.0175,78.13
