OBJECTID_1,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
3781,4.000000000000000,0.000277777777778,238,1476,1238,594.750000000000000,510.383862891451543,2379.000000000000000,4,238,1,25.0000000,238,1,25.0000000,316,1476
3782,4.000000000000000,0.000277777777778,527,2932,2405,1136.500000000000000,1036.661588947907376,4546.000000000000000,4,527,1,25.0000000,527,1,25.0000000,538,2932
3783,4.000000000000000,0.000277777777778,420,1257,837,702.500000000000000,325.702701861682442,2810.000000000000000,4,420,1,25.0000000,420,1,25.0000000,561,1257
3784,4.000000000000000,0.000277777777778,768,2056,1288,1547.000000000000000,503.899791625279363,6188.000000000000000,4,768,1,25.0000000,768,1,25.0000000,1444,2056
3785,4.000000000000000,0.000277777777778,742,2664,1922,1757.750000000000000,817.288925350148133,7031.000000000000000,4,742,1,25.0000000,742,1,25.0000000,1175,2664
3786,4.000000000000000,0.000277777777778,441,3379,2938,1523.750000000000000,1145.253547254930027,6095.000000000000000,4,441,1,25.0000000,441,1,25.0000000,729,3379
3787,4.000000000000000,0.000277777777778,860,1913,1053,1265.750000000000000,408.607008628094889,5063.000000000000000,4,860,1,25.0000000,860,1,25.0000000,979,1913
3788,5.000000000000000,0.000347222222222,441,1803,1362,1200.600000000000136,509.357870264119924,6003.000000000000000,5,441,1,20.0000000,441,1,20.0000000,1083,1803
3789,4.000000000000000,0.000277777777778,671,2119,1448,1326.000000000000000,631.215890167540010,5304.000000000000000,4,671,1,25.0000000,671,1,25.0000000,744,2119
3790,4.000000000000000,0.000277777777778,671,2119,1448,1326.000000000000000,631.215890167540010,5304.000000000000000,4,671,1,25.0000000,671,1,25.0000000,744,2119
3791,4.000000000000000,0.000277777777778,871,1628,757,1227.000000000000000,302.721819497703223,4908.000000000000000,4,871,1,25.0000000,871,1,25.0000000,1007,1628
3792,4.000000000000000,0.000277777777778,871,2039,1168,1329.750000000000000,453.562220097750185,5319.000000000000000,4,871,1,25.0000000,871,1,25.0000000,1007,2039
3793,4.000000000000000,0.000277777777778,909,1308,399,1142.500000000000000,165.822947748494698,4570.000000000000000,4,909,1,25.0000000,909,1,25.0000000,1063,1308
3794,5.000000000000000,0.000347222222222,918,1472,554,1179.000000000000000,206.375386129257208,5895.000000000000000,5,918,1,20.0000000,918,1,20.0000000,1101,1472
3795,4.000000000000000,0.000277777777778,831,1600,769,1249.750000000000000,310.672959074329469,4999.000000000000000,4,831,1,25.0000000,831,1,25.0000000,1077,1600
3796,5.000000000000000,0.000347222222222,168,1877,1709,946.000000000000000,627.244131100483060,4730.000000000000000,5,168,1,20.0000000,168,1,20.0000000,1007,1877
3797,4.000000000000000,0.000277777777778,1107,3298,2191,1906.500000000000000,901.624228822628766,7626.000000000000000,4,1107,1,25.0000000,1107,1,25.0000000,1110,3298
3798,4.000000000000000,0.000277777777778,943,2121,1178,1543.500000000000000,428.407808052094254,6174.000000000000000,4,943,1,25.0000000,943,1,25.0000000,1414,2121
3799,3.000000000000000,0.000208333333333,952,4820,3868,2558.333333333333485,1645.691816700671097,7675.000000000000000,3,952,1,33.3333015,952,1,33.3333015,1903,4820
3800,4.000000000000000,0.000277777777778,1865,2281,416,2079.250000000000000,172.624411657216058,8317.000000000000000,4,1865,1,25.0000000,1865,1,25.0000000,1958,2281
3801,4.000000000000000,0.000277777777778,979,1428,449,1143.500000000000000,169.868331362852928,4574.000000000000000,4,979,1,25.0000000,979,1,25.0000000,1073,1428
3802,4.000000000000000,0.000277777777778,453,1354,901,935.750000000000000,334.514106578481972,3743.000000000000000,4,453,1,25.0000000,453,1,25.0000000,831,1354
3803,4.000000000000000,0.000277777777778,453,1354,901,935.750000000000000,334.514106578481972,3743.000000000000000,4,453,1,25.0000000,453,1,25.0000000,831,1354
3804,4.000000000000000,0.000277777777778,453,1354,901,935.750000000000000,334.514106578481972,3743.000000000000000,4,453,1,25.0000000,453,1,25.0000000,831,1354
3805,4.000000000000000,0.000277777777778,453,1354,901,935.750000000000000,334.514106578481972,3743.000000000000000,4,453,1,25.0000000,453,1,25.0000000,831,1354
3806,4.000000000000000,0.000277777777778,453,2121,1668,1258.250000000000000,596.954510410969192,5033.000000000000000,4,453,1,25.0000000,453,1,25.0000000,1105,2121
3807,5.000000000000000,0.000347222222222,565,1472,907,1031.200000000000045,352.651896351061794,5156.000000000000000,5,565,1,20.0000000,565,1,20.0000000,1041,1472
3808,4.000000000000000,0.000277777777778,545,1063,518,777.000000000000000,210.936009253991529,3108.000000000000000,4,545,1,25.0000000,545,1,25.0000000,607,1063
