brickid,state,latitude,longitude
BKP-361,Punjab,73.19275306,30.75597971
BKP-362,Punjab,73.18770153,30.6032182
BKP-363,Punjab,73.18603692,30.60194804
BKP-364,Punjab,73.20339809,32.5147912
BKP-365,Punjab,73.20623278,32.23812008
BKP-366,Punjab,73.20955155,31.39866013
BKP-367,Punjab,73.20815571,31.42190774
BKP-368,Punjab,73.20802442,31.42199066
BKP-369,Punjab,73.20883071,31.41996178
BKP-370,Punjab,73.20865324,31.42016409
BKP-371,Punjab,73.20011924,32.24430847
BKP-372,Punjab,73.19801084,32.24204155
BKP-373,Punjab,73.27491522,32.55877871
BKP-374,Punjab,73.28123711,31.69593191
BKP-375,Punjab,73.28198026,31.91124583
BKP-376,Punjab,73.28223908,32.42283827
BKP-377,Punjab,73.28288402,32.42156704
BKP-378,Punjab,73.28460579,33.283794
BKP-379,Punjab,73.20553027,30.65327849
BKP-380,Punjab,73.28465071,33.19212093
BKP-381,Punjab,73.20730576,32.22306331
BKP-382,Punjab,73.20748543,32.22171584
BKP-383,Punjab,73.20467159,30.60287508
BKP-384,Punjab,73.30270685,31.6298159
BKP-385,Punjab,73.30094872,30.54495262
BKP-386,Punjab,73.29765875,30.73207138
BKP-387,Punjab,73.28590835,31.47755146
BKP-388,Punjab,73.29673305,32.24026605
BKP-389,Punjab,73.29754795,32.95085911
BKP-390,Punjab,73.28368951,33.09835478
BKP-391,Punjab,73.24458585,32.30624731
BKP-392,Punjab,73.24868217,33.36326796
BKP-393,Punjab,73.28657086,33.10710661
BKP-394,Punjab,73.28751739,33.10413623
BKP-395,Punjab,73.29382251,31.50423592
BKP-396,Punjab,73.301024,31.53748805
BKP-397,Sindh,67.78242967,26.80461017
BKP-398,Punjab,73.25770125,29.90307426
BKP-399,Punjab,73.25919844,30.72023425
BKP-400,Punjab,73.25653344,30.77228413
BKP-401,Punjab,73.24795453,32.5586739
BKP-402,Punjab,73.24747917,32.48285235
BKP-403,Punjab,73.26597664,33.1915901
BKP-404,Punjab,73.25908159,31.65058999
BKP-405,Punjab,73.2574591,31.77257968
BKP-406,Punjab,73.26057586,31.37047228
BKP-407,Punjab,73.25674305,31.54061183
BKP-408,Punjab,73.26364599,31.87541266
BKP-409,Punjab,73.26349539,31.87216503
BKP-410,Punjab,73.26488777,32.42037827
BKP-411,Punjab,73.27277049,32.49525734
BKP-412,Punjab,73.57714217,30.68339583
BKP-413,Punjab,73.58242637,32.44205409
BKP-414,Punjab,73.58163374,32.43740134
BKP-415,Punjab,73.57487899,31.50960538
BKP-416,Punjab,73.58172357,32.19979695
BKP-417,Punjab,73.57711971,32.64795147
BKP-418,Punjab,73.57705579,32.64359925
BKP-419,Punjab,73.59504242,31.30343946
BKP-420,Punjab,73.59218895,30.90352799
BKP-421,Punjab,73.58989824,31.75653552
BKP-422,Punjab,73.58962875,31.75670294
BKP-423,Punjab,73.59479905,32.54081739
BKP-424,Punjab,73.59610887,32.44127635
BKP-425,Punjab,73.59794378,32.4408767
BKP-426,Punjab,73.59668502,32.43630989
BKP-427,Punjab,73.59464475,31.7267162
BKP-428,Punjab,73.59761377,31.98080931
BKP-429,Punjab,73.5942858,31.70271419
BKP-430,Punjab,73.54484773,32.67388284
BKP-431,Punjab,73.54496134,32.66834235
BKP-432,Punjab,73.60251316,30.97321801
BKP-433,Punjab,73.56300268,32.60929397
BKP-434,Punjab,73.56036164,32.5456663
BKP-435,Punjab,73.59579889,30.98401833
BKP-436,Punjab,73.59427753,30.94695405
BKP-437,Punjab,73.59586306,30.93335745
BKP-438,Punjab,73.60040853,30.93339698
BKP-439,Punjab,73.54641978,31.18232014
BKP-440,Punjab,73.55600181,32.37016244
BKP-441,Punjab,73.55477884,32.36797812
BKP-442,Punjab,73.5545822,33.0299301
BKP-443,Punjab,73.55779981,33.01890941
BKP-444,Punjab,73.55635409,33.01677507
BKP-445,Punjab,73.55874355,33.01502368
BKP-446,Punjab,73.55619859,33.01405559
BKP-447,Punjab,73.56800181,32.59112305
BKP-448,Punjab,73.56316438,32.51094641
BKP-449,Punjab,73.56647146,32.63451096
BKP-450,Punjab,73.56951121,32.63343501
BKP-451,Punjab,73.63375236,32.50300286
BKP-452,Azad Kashmir,73.63418519,33.30270354
BKP-453,Punjab,73.57063133,32.64899755
BKP-454,Punjab,73.57211977,32.64213148
BKP-455,Punjab,73.56711098,32.62016026
BKP-456,Punjab,73.57228228,32.61729347
BKP-457,Punjab,73.57074507,32.61522557
BKP-458,Punjab,73.64948462,31.69582523
BKP-459,Punjab,73.64512013,31.47809453
BKP-460,Punjab,73.63739217,31.26758823
BKP-461,Punjab,73.65394812,30.64041145
BKP-462,Punjab,73.64855823,30.66026422
BKP-463,Punjab,73.65210658,30.6519548
BKP-464,Punjab,73.660024,30.84580307
BKP-465,Punjab,73.65694311,30.8443919
BKP-466,Punjab,73.65800375,30.84432109
BKP-467,Punjab,73.65367377,30.84292692
BKP-468,Punjab,73.65111579,32.49131347
BKP-469,Punjab,73.64837585,32.41949084
BKP-470,Punjab,73.64392193,32.39666773
BKP-471,Punjab,73.60314839,32.67383792
BKP-472,Punjab,73.61106293,32.6639995
BKP-473,Punjab,73.60975101,32.66040811
BKP-474,Punjab,73.61046966,32.64738254
BKP-475,Punjab,73.61037575,32.65146579
BKP-476,Punjab,73.65325193,31.21919149
BKP-477,Punjab,73.65538543,31.55040483
BKP-478,Punjab,73.60645719,30.62048382
BKP-479,Punjab,73.61505107,33.06622204
BKP-480,Punjab,73.6204769,33.02692075
BKP-481,Punjab,73.61465432,33.02131376
BKP-482,Punjab,73.61208663,30.64669965
BKP-483,Punjab,73.60532681,33.00572051
BKP-484,Punjab,73.61163747,32.51708191
BKP-485,Punjab,73.61091882,32.42936142
BKP-486,Punjab,73.60750522,32.42464526
BKP-487,Punjab,73.60556743,32.42319834
BKP-488,Punjab,73.60375476,32.42293847
BKP-489,Punjab,73.62672917,30.65954556
BKP-490,Punjab,73.62059133,31.61636656
BKP-491,Punjab,73.61718992,31.34781548
BKP-492,Punjab,73.61954265,31.23964164
BKP-493,Punjab,73.62087814,31.23756853
BKP-494,Punjab,73.62184533,31.59141891
BKP-495,Punjab,73.46219101,32.35622489
BKP-496,Punjab,73.45441848,32.34736366
BKP-497,Punjab,73.46030691,32.5588255
BKP-498,Punjab,73.45311851,32.32368586
BKP-499,Punjab,73.46021745,32.58025593
BKP-500,Punjab,73.45331631,32.57861305
BKP-501,Punjab,73.45998552,32.57863692
BKP-502,Punjab,73.62681321,31.58712999
BKP-503,Punjab,73.45312333,30.70381326
BKP-504,Punjab,73.46915686,33.31726015
BKP-505,Punjab,73.46907484,33.31739099
BKP-506,Punjab,73.46512225,33.15398744
BKP-507,Punjab,73.4645261,33.31385898
BKP-508,Punjab,73.46144275,30.76291111
BKP-509,Punjab,73.45931775,30.76283455
BKP-510,Punjab,73.46027135,33.143028
BKP-511,Punjab,73.46000185,33.14060255
BKP-512,Punjab,73.47304376,32.59388378
BKP-513,Punjab,73.47258608,32.55144247
BKP-514,Punjab,73.46891763,32.57603946
BKP-515,Punjab,73.46527946,32.57522536
BKP-516,Punjab,73.47167995,32.57104071
BKP-517,Punjab,73.47165188,32.56923472
BKP-518,Punjab,73.46462319,32.58132642
BKP-519,Punjab,73.47305192,32.76178707
BKP-520,Punjab,73.46714346,32.27251557
BKP-521,Punjab,73.48254957,30.39984261
BKP-522,Punjab,73.47947845,31.87186134
BKP-523,Punjab,73.47559212,31.59089639
BKP-524,Punjab,73.47176978,30.36799734
BKP-525,Punjab,73.46673922,30.43622438
BKP-526,Punjab,73.47518811,32.61851825
BKP-527,Punjab,73.46512225,30.5251576
BKP-528,Punjab,73.48308856,30.78108762
BKP-529,Punjab,73.48025195,30.77951557
BKP-530,Punjab,73.48107771,30.80190435
BKP-531,Punjab,73.48268023,30.79992366
BKP-532,Punjab,73.47654749,30.796527
BKP-533,Punjab,73.4798794,30.79423865
BKP-534,Punjab,73.48126369,30.7929364
BKP-535,Punjab,73.48255745,30.77489161
BKP-536,Punjab,73.48222195,30.77243473
BKP-537,Punjab,73.4741054,30.93236391
BKP-538,Punjab,73.47913597,30.22089821
BKP-539,Punjab,73.47724951,30.21982023
BKP-540,Punjab,73.48044067,31.18181965
BKP-541,Punjab,73.48285499,31.17885265
BKP-542,Punjab,73.48186086,31.1777587
BKP-543,Punjab,73.48283812,31.17566716
BKP-544,Punjab,73.47411102,33.30193436
BKP-545,Punjab,73.47912599,32.55151733
BKP-546,Punjab,73.4292622,32.45451425
BKP-547,Punjab,73.42689894,32.54771446
BKP-548,Punjab,73.42618028,32.61724406
