brickid,type,longitude,latitude
BKI-299,fcbk,74.10296547,29.47716996
BKI-300,fcbk,74.25088847,29.55869104
BKI-301,fcbk,74.14183552,29.44694875
BKI-302,fcbk,73.99111192,29.41896082
BKI-303,fcbk,74.27402433,29.53629988
BKI-304,fcbk,74.18415709,29.53822429
BKI-305,zigzag,76.43516321,28.84191529
BKI-306,fcbk,83.81369495,25.92025924
BKI-307,fcbk,84.18616475,25.87075675
BKI-308,zigzag,84.10336372,25.62011231
BKI-309,fcbk,74.18549378,29.5386444
BKI-310,fcbk,74.14261532,29.44577613
BKI-311,fcbk,74.29367476,29.3835674
BKI-312,fcbk,74.27656437,29.55589778
BKI-313,fcbk,74.11334603,29.46198023
BKI-314,fcbk,74.11940415,29.4631017
BKI-315,fcbk,74.25919043,29.5544965
BKI-316,fcbk,74.19915695,29.54147757
BKI-317,fcbk,74.25741917,29.55529102
BKI-318,fcbk,74.00504073,29.46056251
BKI-319,fcbk,74.23000995,29.34246444
BKI-320,fcbk,74.19756412,29.49122686
BKI-321,fcbk,74.2507,29.54421989
BKI-322,fcbk,74.2791298,29.55472602
BKI-323,fcbk,74.26471877,29.54230831
BKI-324,fcbk,74.08040023,29.3634085
BKI-325,fcbk,74.1415664,29.44834507
BKI-326,fcbk,74.25848193,29.54480833
BKI-327,fcbk,81.08113404,26.23400248
BKI-328,fcbk,81.10699464,26.12522345
BKI-329,zigzag,81.49859502,26.26359054
BKI-330,fcbk,81.30033304,26.24486355
BKI-331,fcbk,74.27562231,29.54097659
BKI-332,fcbk,74.26372312,29.55327407
BKI-333,fcbk,74.25185368,29.54997152
BKI-334,fcbk,74.12384424,29.46082287
BKI-335,zigzag,77.69336165,29.53999787
BKI-336,fcbk,74.11858229,29.45969533
BKI-337,zigzag,77.6895711,29.49657637
BKI-345,fcbk,77.89422707,29.31360103
BKI-346,fcbk,77.72813864,29.31348968
BKI-365,fcbk,87.43096969,23.62472634
BKI-366,fcbk,87.7224013,23.71879166
BKI-367,fcbk,87.79981793,23.84047219
BKI-370,fcbk,87.10772566,23.33044605
BKI-371,fcbk,87.34191682,23.17116585
BKI-372,fcbk,87.30787266,23.1348551
BKI-373,fcbk,87.21776769,23.16448393
BKI-374,fcbk,87.07121372,23.26438495
BKI-375,fcbk,87.14202606,23.22221285
BKI-376,fcbk,87.3134021,23.45596213
BKI-377,fcbk,87.10670012,23.22126742
BKI-378,fcbk,87.10699464,23.25888261
BKI-384,fcbk,81.19266945,26.29239611
BKI-385,fcbk,80.92760541,28.38563343
BKI-386,fcbk,88.84732186,22.78523311
BKI-387,zigzag,88.81003337,23.04415982
BKI-388,fcbk,88.84586842,22.78540136
BKI-389,zigzag,88.8066176,22.72330456
BKI-390,fcbk,79.27638096,28.6661455
BKI-391,fcbk,79.07674045,28.47676358
BKI-392,fcbk,78.98949517,28.49043417
BKI-393,fcbk,79.2729977,28.54177172
BKI-394,fcbk,78.87391952,28.65673985
BKI-395,fcbk,79.22850938,28.72887231
BKI-396,fcbk,79.02428296,28.54168946
BKI-397,fcbk,78.88219621,28.64377971
BKI-398,fcbk,79.249461,28.77036323
BKI-399,fcbk,79.16115114,28.68036202
BKI-400,fcbk,74.96847659,29.63391617
BKI-401,fcbk,74.98829565,29.63318318
BKI-402,fcbk,75.21118545,29.61418741
BKI-403,zigzag,87.61777396,25.400185
BKI-404,zigzag,74.96211169,29.86024833
BKI-411,fcbk,78.27199017,29.59313809
BKI-414,fcbk,78.28698477,29.64303348
BKI-420,fcbk,78.36220001,29.63014065
BKI-426,fcbk,77.73661473,28.37003876
BKI-427,zigzag,77.72425692,28.18050281
BKI-428,fcbk,77.63647265,28.02724786
BKI-429,zigzag,77.80662413,28.30710203
BKI-430,fcbk,77.73877253,28.09853612
BKI-431,fcbk,77.87251078,28.27702259
BKI-432,fcbk,77.89420204,28.0238781
BKI-433,fcbk,77.90488801,28.30643508
BKI-434,zigzag,77.6812116,28.00443702
BKI-435,fcbk,77.86462683,28.17168801
BKI-436,fcbk,77.75123112,28.33088906
BKI-437,fcbk,77.5739468,28.17206795
BKI-438,zigzag,77.77284968,28.19177704
BKI-439,fcbk,77.58038907,28.34518529
BKI-440,zigzag,77.82106162,28.28656821
BKI-441,fcbk,77.80553774,28.21199844
BKI-442,fcbk,77.58737303,28.33515693
BKI-443,fcbk,77.92886769,28.34547948
BKI-444,fcbk,77.57271387,28.17068171
BKI-445,zigzag,77.848107,28.30891966
BKI-446,fcbk,77.70003502,27.99737421
BKI-447,fcbk,77.59171214,28.3614728
BKI-448,fcbk,77.74015822,28.09703534
BKI-449,zigzag,77.58326134,28.35265423
BKI-450,fcbk,77.6067717,28.02945404
BKI-451,fcbk,77.9350699,29.81889458
BKI-452,fcbk,77.83182414,28.2775641
BKI-453,fcbk,77.66958396,28.00018551
BKI-454,fcbk,77.88698387,27.98873725
BKI-455,zigzag,77.57394326,28.36904454
BKI-456,fcbk,77.55801006,28.23544637
BKI-457,zigzag,77.5548208,28.18491373
BKI-458,fcbk,77.64778339,28.04769323
BKI-459,fcbk,77.56821442,28.08829069
BKI-460,zigzag,77.77903605,28.34870554
BKI-461,fcbk,77.55872193,28.35632826
BKI-462,fcbk,77.56198399,28.0843421
BKI-463,fcbk,77.65661456,28.34580559
BKI-464,fcbk,77.92627699,28.00485743
BKI-465,fcbk,77.56532659,28.08089617
BKI-466,fcbk,77.7394535,28.16147018
BKI-467,fcbk,77.60541601,28.03562392
BKI-468,fcbk,77.55784239,28.18226352
BKI-469,fcbk,77.85674609,28.06825781
BKI-470,zigzag,77.57421771,28.36991743
BKI-471,fcbk,77.90094295,28.37466017
BKI-472,zigzag,77.57524851,28.3639482
BKI-473,fcbk,77.61991122,28.19806836
BKI-474,fcbk,79.10821489,27.25056672
BKI-475,fcbk,77.60079748,28.06592727
BKI-476,fcbk,79.17187202,27.32539194
BKI-477,fcbk,79.11073008,27.24420651
BKI-478,fcbk,79.03820284,27.30303489
BKI-479,fcbk,79.02081072,27.33820025
BKI-480,zigzag,79.25948409,27.46343246
BKI-481,fcbk,77.56957412,28.30544249
BKI-482,fcbk,77.56125119,28.13217378
BKI-483,fcbk,77.79729114,28.20073892
BKI-484,fcbk,77.69290423,28.23153656
BKI-485,fcbk,77.58386432,28.36808347
BKI-486,fcbk,77.81612011,28.02155272
BKI-487,fcbk,77.9051526,28.37403796
BKI-488,fcbk,77.83576892,28.36867343
BKI-489,fcbk,77.60817563,28.01819424
BKI-490,fcbk,77.9036168,28.38095376
BKI-491,fcbk,77.89123614,28.38427773
BKI-492,fcbk,77.90228892,28.37374348
BKI-493,fcbk,77.64603462,28.05921385
BKI-494,fcbk,77.6146564,28.04987301
BKI-495,zigzag,77.56796523,28.36186623
BKI-496,fcbk,77.75929146,28.36830457
BKI-497,fcbk,77.52635789,28.07899761
BKI-498,fcbk,77.86748511,28.17660278
BKI-499,fcbk,77.88155207,28.33004994
BKI-500,fcbk,77.86126246,28.18814507
BKI-501,zigzag,77.69363256,28.3304933
BKI-502,fcbk,77.59196921,28.36409303
BKI-503,zigzag,77.70858039,28.36096664
BKI-504,fcbk,77.83029595,28.25789032
BKI-505,fcbk,77.67270368,28.00639062
BKI-512,zigzag,86.28894457,26.2070052
BKI-513,zigzag,86.04397683,26.36349068
BKI-514,zigzag,86.29651466,26.03175102
BKI-515,zigzag,86.31918174,26.24045692
BKI-516,fcbk,86.30559158,26.13286364
BKI-517,fcbk,86.32847161,26.02407154
BKI-518,zigzag,86.32412449,26.29396779
BKI-519,zigzag,86.16122609,26.17998858
BKI-520,fcbk,86.25317338,26.16878095
BKI-521,zigzag,86.20663473,26.16421951
BKI-522,zigzag,86.21941345,26.34453479
BKI-523,zigzag,86.37514866,26.38982873
BKI-524,zigzag,86.29791202,26.14164837
BKI-525,zigzag,86.38768054,26.0929464
BKI-526,fcbk,86.20588218,26.14786001
BKI-527,zigzag,86.41691915,26.19638308
BKI-528,zigzag,86.38539375,26.13776126
BKI-529,zigzag,86.12435021,26.17953117
BKI-530,zigzag,86.1749243,26.36570304
BKI-531,fcbk,86.1905814,26.06996323
BKI-532,zigzag,86.32645902,26.07374278
BKI-533,zigzag,86.33182204,26.2595842
BKI-534,fcbk,86.36837747,26.21428291
BKI-535,zigzag,86.26384913,26.14021911
BKI-536,zigzag,86.12171037,26.31236694
BKI-537,fcbk,86.30921553,26.22364082
BKI-538,zigzag,86.44512443,26.36017774
BKI-539,zigzag,86.05973489,26.11864143
BKI-540,zigzag,86.18379641,26.33903162
BKI-541,fcbk,86.19534443,26.38942799
BKI-542,zigzag,86.15279805,26.24997833
BKI-543,zigzag,86.2951947,26.2223806
BKI-544,zigzag,86.13053698,26.20577736
BKI-545,zigzag,86.42815162,26.20261539
BKI-546,zigzag,86.30748019,26.00624572
BKI-547,fcbk,86.02566516,26.12035923
BKI-548,zigzag,86.22022666,26.02320143
BKI-549,fcbk,86.34455631,26.18224174
BKI-550,zigzag,86.46396511,26.31855557
BKI-551,zigzag,86.26492435,26.05147438
BKI-552,zigzag,86.36892409,26.14631629
BKI-553,zigzag,86.21690378,26.19808936
BKI-554,fcbk,86.32042854,26.08957852
BKI-555,zigzag,86.23810573,26.29365022
BKI-556,zigzag,86.28966329,26.36980491
BKI-557,fcbk,86.14593463,26.1656687
BKI-558,zigzag,86.0392434,26.00562532
BKI-559,zigzag,86.29367126,26.26918778
BKI-560,zigzag,86.14616447,25.9919834
BKI-561,fcbk,86.23760298,26.33674443
BKI-562,zigzag,86.18334036,25.99758094
BKI-563,fcbk,86.15098588,26.04639739
BKI-564,fcbk,86.38465159,26.29023525
BKI-565,zigzag,86.35870171,26.11260212
BKI-566,zigzag,86.27676014,26.00902359
BKI-567,fcbk,86.3812567,26.24208762
BKI-568,zigzag,86.38841168,26.30458216
BKI-569,zigzag,86.29667247,26.28141756
BKI-570,fcbk,86.35104149,26.35654928
BKI-571,zigzag,86.62854025,24.94119326
BKI-572,fcbk,79.20736243,27.87904605
BKI-573,fcbk,78.84815452,27.80957034
BKI-574,fcbk,79.13953839,27.59770402
BKI-575,fcbk,79.17013984,27.95329408
BKI-576,fcbk,78.91751297,27.63501009
BKI-577,fcbk,79.18569434,27.91702022
BKI-578,fcbk,78.8641427,27.65824439
BKI-579,fcbk,78.84575944,27.80687278
BKI-580,fcbk,73.28024404,29.20380849
BKI-581,fcbk,73.41629798,29.18398683
BKI-582,fcbk,78.87141732,27.75814335
BKI-583,fcbk,78.95400722,27.74093392
BKI-584,fcbk,78.95615917,27.74064928
BKI-585,fcbk,78.84279145,27.80514904
BKI-586,fcbk,79.26113252,27.85399857
BKI-587,fcbk,79.26845545,27.8614499
BKI-588,fcbk,78.90466658,27.59128073
BKI-600,fcbk,81.23402944,27.82084626
BKI-601,fcbk,81.46822723,27.88187758
BKI-602,fcbk,81.46999967,27.94241201
BKI-603,zigzag,81.46492564,27.98647129
BKI-604,fcbk,79.0738424,27.61281172
BKI-605,fcbk,78.93152355,27.71681473
BKI-606,fcbk,78.97687635,27.70364651
BKI-607,fcbk,78.95680324,27.60485839
BKI-608,fcbk,78.84513153,27.80871654
BKI-609,fcbk,79.26796673,27.86298603
BKI-610,fcbk,79.24292497,27.81549343
BKI-611,fcbk,79.22328545,27.90178162
BKI-612,fcbk,78.94359093,27.74788256
BKI-615,fcbk,81.47332948,27.90676372
BKI-616,fcbk,81.49657059,27.75912519
BKI-617,zigzag,81.45040839,27.9690532
BKI-618,fcbk,81.51845148,27.86035631
BKI-619,fcbk,81.49441517,27.76522686
BKI-620,fcbk,78.87262877,27.76029501
BKI-621,zigzag,83.60801223,26.18625627
BKI-622,fcbk,83.36540669,26.3797511
BKI-636,fcbk,79.05291708,26.74733035
BKI-637,fcbk,79.20361425,26.64018066
BKI-638,fcbk,79.04995587,26.73963721
BKI-639,fcbk,79.04883854,26.73393086
BKI-640,zigzag,74.62410926,29.72268967
BKI-641,fcbk,74.46201868,29.70323891
BKI-642,fcbk,74.64067202,29.82699837
BKI-643,fcbk,74.45018734,29.87363968
BKI-651,fcbk,78.98962386,26.79137764
BKI-652,fcbk,79.11039199,26.67699298
BKI-653,fcbk,78.95916842,26.72884258
BKI-654,fcbk,79.06342983,26.71141989
BKI-655,fcbk,78.9650917,26.72529744
BKI-656,fcbk,74.38438776,29.59040605
BKI-657,zigzag,74.60209323,29.89848294
BKI-658,fcbk,74.7354059,29.5858002
BKI-659,fcbk,74.51869217,29.91131133
BKI-665,fcbk,74.73961683,29.60527297
BKI-666,fcbk,74.38415907,29.67861359
BKI-667,fcbk,74.45546875,29.87735704
BKI-672,fcbk,77.29976882,27.91473585
BKI-673,fcbk,77.1547869,27.94766784
BKI-674,zigzag,77.2804105,27.8708582
BKI-675,zigzag,77.2831497,27.853497
BKI-676,zigzag,77.4161824,27.94852797
BKI-677,zigzag,77.32585613,27.96832562
BKI-678,zigzag,77.13566405,27.79441809
BKI-679,fcbk,77.39615192,27.95499471
BKI-680,zigzag,77.31765035,27.90666994
BKI-681,zigzag,77.22404933,27.9015344
BKI-682,zigzag,77.47388393,27.9151287
BKI-683,zigzag,77.44260997,27.96826466
BKI-684,fcbk,77.32468015,27.90390664
BKI-685,zigzag,77.30079933,27.85937035
BKI-686,zigzag,77.27096893,27.86372514
BKI-687,fcbk,77.31447861,27.8828751
BKI-688,fcbk,77.26385296,27.98664662
BKI-689,fcbk,77.46207717,27.94084749
BKI-690,fcbk,77.463123,27.93631404
BKI-691,zigzag,77.4784372,27.9658875
BKI-692,zigzag,77.31958286,27.87290114
BKI-693,fcbk,77.22450359,27.93594468
BKI-694,zigzag,77.32708831,27.97470099
BKI-695,zigzag,77.39509336,27.96584355
BKI-696,fcbk,77.46488748,27.9394141
BKI-697,zigzag,77.28636102,27.87179076
BKI-698,zigzag,77.29588508,27.86443253
BKI-699,fcbk,77.18933452,27.8802346
BKI-700,zigzag,77.45743501,27.94302906
BKI-701,zigzag,77.38961669,27.95421772
BKI-702,zigzag,77.45960071,27.93709084
BKI-704,zigzag,77.3897519,27.95497919
BKI-705,fcbk,77.14500931,27.79435394
BKI-706,zigzag,77.46011284,27.93389575
BKI-707,fcbk,77.42083274,27.88436577
BKI-709,zigzag,77.45100541,27.96126354
BKI-710,zigzag,77.45186089,27.95890911
BKI-711,zigzag,77.23634656,27.98026324
BKI-712,zigzag,77.44704405,27.97025161
BKI-713,fcbk,77.27301479,27.86402191
BKI-714,zigzag,77.45806778,27.97601318
BKI-715,zigzag,77.29895842,27.88756973
BKI-716,zigzag,77.45716694,27.93617961
BKI-717,zigzag,77.47832177,27.97066637
BKI-718,zigzag,77.39467822,27.95725268
BKI-719,zigzag,77.240896,27.97218586
BKI-720,fcbk,77.18455586,27.87579174
BKI-721,fcbk,77.47108786,27.95100674
BKI-722,zigzag,77.35742642,27.85797361
BKI-724,fcbk,77.43879502,27.9670032
BKI-725,zigzag,77.3772589,27.86836436
BKI-726,zigzag,77.44678311,27.96092832
BKI-727,fcbk,77.22373754,27.96972439
BKI-728,zigzag,77.41544393,27.94846718
BKI-729,zigzag,77.27577402,27.86785191
BKI-730,zigzag,77.4628609,27.93814651
BKI-731,fcbk,77.27256003,27.86897412
BKI-732,fcbk,77.15547697,27.93781104
BKI-733,zigzag,77.26152431,27.87797802
BKI-734,zigzag,77.27736581,27.85411305
BKI-735,zigzag,77.44911808,27.97855455
BKI-736,zigzag,77.14499998,27.78980929
BKI-737,zigzag,77.06722443,27.9474372
BKI-738,fcbk,77.45808012,27.94652425
BKI-739,zigzag,77.34512563,27.94807202
BKI-740,zigzag,77.32167851,27.90217392
BKI-741,fcbk,77.3296897,27.96581612
BKI-742,zigzag,80.97813343,27.47379116
BKI-743,zigzag,88.01839427,22.44302419
BKI-744,fcbk,88.22790117,22.52414867
BKI-745,fcbk,88.26296207,22.64410078
BKI-746,fcbk,88.25472773,22.54152913
BKI-748,fcbk,87.93326779,22.30019122
BKI-749,zigzag,87.93050683,22.31703498
BKI-750,zigzag,88.25605999,22.61269678
BKI-751,fcbk,87.94397732,22.57735354
BKI-752,zigzag,87.93223093,22.3056716
BKI-755,fcbk,88.07200945,22.49182836
BKI-756,fcbk,88.22937674,22.54197775
BKI-757,fcbk,88.24494166,22.55052629
BKI-758,fcbk,87.93268699,22.35843571
BKI-759,fcbk,88.25543141,22.54133865
BKI-760,fcbk,87.88557658,22.53835197
BKI-761,zigzag,88.23118464,22.54490145
BKI-762,zigzag,87.97363018,22.66395405
BKI-765,fcbk,87.93351592,22.35410195
BKI-766,zigzag,88.14572734,22.35677817
BKI-767,fcbk,88.24624311,22.53830027
BKI-768,fcbk,88.26051887,22.64602157
BKI-769,fcbk,88.20371004,22.51759789
BKI-770,fcbk,88.24873815,22.53501558
BKI-772,zigzag,87.8935868,22.45522156
BKI-773,fcbk,87.97599155,22.67266498
BKI-774,zigzag,88.04390219,22.39444572
BKI-775,zigzag,87.88114921,22.46882593
BKI-777,fcbk,88.24771584,22.53501938
BKI-779,fcbk,88.06527218,22.35606959
BKI-781,zigzag,88.12450808,22.46563922
BKI-783,zigzag,88.05664163,22.5302852
BKI-784,zigzag,87.88352369,22.47255456
BKI-785,zigzag,88.02701919,22.41809565
