plnt_nm,country,cap_all,ttl_cp_,stts_ll,units,status,prod_kw,nx_tn_y,sx_tn_y,p10_tn_,p25_tn_,long,lat
Nabinagar Super Thermal Power Project,India,"660, 660, 660",1980.000000000000000,"operating, operating, operating",3,operating,17344800000.000000000000000,74582.639999999999418,124882.559999999997672,6417.576000000000022,3295.512000000000171,84.158025400000000,24.776000100000001
Nabinagar Thermal Power Project,India,"250, 250, 250, 250",1000.000000000000000,"operating, operating, operating, operating",4,operating,8760000000.000000000000000,37668.000000000000000,63072.000000000000000,3241.199999999999818,1664.400000000000091,84.088738399999997,24.705081199999999
National Capital Dadri Thermal Power Plant,India,"210, 210, 210, 210, 490, 490",1820.000000000000000,"operating, operating, operating, operating, operating, operating",6,operating,15943200000.000000000000000,68555.759999999994761,114791.039999999993597,5898.984000000000378,3029.208000000000084,77.607799999999997,28.603000000000002
Obra Thermal Power Station,India,"200, 200, 200, 200, 660, 660, 200",2320.000000000000000,"operating, operating, operating, operating, construction, construction, operating",7,operating,20323200000.000000000000000,87389.759999999994761,146327.040000000008149,7519.583999999999833,3861.407999999999902,82.980332500000003,24.444580299999998
Panipat power station,India,"110, 110, 110, 110, 210, 210, 250, 250",1360.000000000000000,"operating, operating, operating, operating, operating, operating, operating, operating",8,operating,11913600000.000000000000000,51228.480000000003201,85777.919999999998254,4408.032000000000153,2263.583999999999833,76.870271000000002,29.398841999999998
Panki Thermal Power Station,India,"660, 105, 105",870.000000000000000,"construction, operating, operating",3,construction,7621200000.000000000000000,32771.160000000003492,54872.639999999999418,2819.844000000000051,1448.028000000000020,80.241000000000000,26.476600000000001
Patuakhali power station (RPCL/NORINCO),Bangladesh,"660, 660",1320.000000000000000,"construction, construction",2,construction,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,90.312348999999998,22.025148999999999
Payra power station (BCPCL),Bangladesh,"660, 660, 660, 660",2640.000000000000000,"operating, operating, construction, construction",4,operating,23126400000.000000000000000,99443.520000000004075,166510.079999999987194,8556.768000000000029,4394.015999999999622,90.308210000000003,22.001974000000001
Port Qasim EPC power station,Pakistan,"660, 660",1320.000000000000000,"operating, operating",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,67.369389999999996,24.784500000000001
Port Qasim Lucky power station,Pakistan,660,660.000000000000000,operating,1,operating,5781600000.000000000000000,24860.880000000001019,41627.519999999996799,2139.192000000000007,1098.503999999999905,67.274560100000002,24.812805399999998
Rajghat Power Station,India,"67.5, 67.5",135.000000000000000,"operating, operating",2,operating,1182600000.000000000000000,5085.180000000000291,8514.719999999999345,437.562000000000012,224.693999999999988,77.254043999999993,28.637429000000001
Rajiv Gandhi Thermal Power Project,India,"600, 600",1200.000000000000000,"operating, operating",2,operating,10512000000.000000000000000,45201.599999999998545,75686.399999999994179,3889.440000000000055,1997.279999999999973,75.857538000000005,29.346980299999998
Rajpura Thermal Power Project,India,"700, 700",1400.000000000000000,"operating, operating",2,operating,12264000000.000000000000000,52735.199999999997090,88300.800000000002910,4537.680000000000291,2330.159999999999854,76.577593100000001,30.558962800000000
Rampal power station,Bangladesh,"660, 660",1320.000000000000000,"operating, construction",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,89.556426999999999,22.592458199999999
Renusagar power station,India,"67.5, 75, 67.5, 74, 74, 68, 74, 74, 76.7, 75",725.700000000000045,"operating, operating, operating, operating, operating, operating, operating, operating, operating, operating",10,operating,6357132000.000000000000000,27335.667600000000675,45771.350400000002992,2352.138840000000073,1207.855080000000044,82.791279399999993,24.181093199999999
Rihand power station,India,"500, 500, 500, 500, 500, 500",3000.000000000000000,"operating, operating, operating, operating, operating, operating",6,operating,26280000000.000000000000000,113004.000000000000000,189216.000000000000000,9723.600000000000364,4993.199999999999818,82.791499999999999,24.027000000000001
Rosa Thermal Power Plant,India,"300, 300, 300, 300",1200.000000000000000,"operating, operating, operating, operating",4,operating,10512000000.000000000000000,45201.599999999998545,75686.399999999994179,3889.440000000000055,1997.279999999999973,79.937161799999998,27.819445500000000
Sagardighi Thermal Power Station,India,"300, 300, 500, 500, 660",2260.000000000000000,"operating, operating, operating, operating, construction",5,operating,19797600000.000000000000000,85129.679999999993015,142542.720000000001164,7325.112000000000080,3761.543999999999869,88.104000099999993,24.368814100000002
Sahiwal power station,Pakistan,"660, 660",1320.000000000000000,"operating, operating",2,operating,11563200000.000000000000000,49721.760000000002037,83255.039999999993597,4278.384000000000015,2197.007999999999811,73.238020000000006,30.714220000000001
Siddiqsons power station,Pakistan,330,330.000000000000000,permitted,1,permitted,2890800000.000000000000000,12430.440000000000509,20813.759999999998399,1069.596000000000004,549.251999999999953,70.367088300000006,24.783617599999999
Singrauli Super Thermal Power Station,India,"200, 200, 200, 200, 200, 500, 500, 800, 800",3600.000000000000000,"operating, operating, operating, operating, operating, operating, operating, permitted, permitted",9,operating,31536000000.000000000000000,135604.799999999988358,227059.200000000011642,11668.319999999999709,5991.840000000000146,82.706355200000004,24.104211899999999
Southern CESC power station,India,"67.5, 67.5",135.000000000000000,"operating, operating",2,operating,1182600000.000000000000000,5085.180000000000291,8514.719999999999345,437.562000000000012,224.693999999999988,88.291511999999997,22.549591100000001
Suratgarh Super Thermal Power Station,India,"250, 250, 250, 250, 250, 250, 660, 660",2820.000000000000000,"operating, operating, operating, operating, operating, operating, operating, operating",8,operating,24703200000.000000000000000,106223.759999999994761,177863.040000000008149,9140.183999999999287,4693.608000000000175,74.018741000000006,29.181766000000000
Talwandi Sabo Power Project,India,"660, 660, 660",1980.000000000000000,"operating, operating, operating",3,operating,17344800000.000000000000000,74582.639999999999418,124882.559999999997672,6417.576000000000022,3295.512000000000171,75.238929400000004,29.924579600000001
Tanda power station,India,"660, 660, 110, 110, 110, 110",1760.000000000000000,"operating, operating, operating, operating, operating, operating",6,operating,15417600000.000000000000000,66295.679999999993015,111006.720000000001164,5704.511999999999716,2929.344000000000051,82.600375400000004,26.589198700000001
ThalNova power station,Pakistan,330,330.000000000000000,operating,1,operating,2890800000.000000000000000,12430.440000000000509,20813.759999999998399,1069.596000000000004,549.251999999999953,70.388369400000002,24.815455900000000
