uid,city,state,country,region,sub_region,latitude,longitude,status,plant_type,production,capacity,capacity_s,year,owner_name
GACTPAK0015,Islamabad,Islamabad Capital Territory,Pakistan,Asia,Southern Asia,33.693119,72.859164,Operating,Integrated,Dry,0.9,https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-pk.pdf,"0",Fecto Cement Ltd
GACTPAK0016,Khushab,Punjab,Pakistan,Asia,Southern Asia,32.574803,72.565983,Operating,Integrated,Dry,0.6,http://www.flyingcement.com/page/profile-of-the-company.html,"0",Flying Cement Co Ltd
GACTPAK0017,Gharibwal Cement Factory Housing Colony,Punjab,Pakistan,Asia,Southern Asia,32.726458,73.142329,Operating,Integrated,Dry,2.45,https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-pk.pdf,"1965",Gharibwal Cement Ltd
GACTPAK0018,Lakari,Khyber Pakhtunkhwa,Pakistan,Asia,Southern Asia,33.905264,71.91052,Operating,Integrated,Dry,4.5,https://gfg.com.pk/cccl/,"1985",Cherat Cement Company Ltd
GACTPAK0019,Togh Bala,Khyber Pakhtunkhwa,Pakistan,Asia,Southern Asia,33.548053,71.549005,Operating,Integrated,Dry,2.95,http://www.kohatcement.com/pdf_files/reports/637060193231926566_Kohat_Cement_Annual_Report_2019.pdf,"1984",Kohat Cement Company Ltd
GACTPAK0020,Iskandarabad,Punjab,Pakistan,Asia,Southern Asia,32.907938,71.590321,Operating,Integrated,Dry,4.38,http://www.kmlg.com/mlcfl/profile/#vision-mission,"0",Maple Leaf Cement Factory Ltd
GACTPAK0022,Karachi,Sindh,Pakistan,Asia,Southern Asia,25.053071,67.494014,Operating,Integrated,Dry,8,https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-pk.pdf,"2005",Lucky Cement Ltd
GACTPAK0023,Jamshoro,Sindh,Pakistan,Asia,Southern Asia,25.15328,67.672503,Operating,Integrated,,1.02,http://mhdadabhoy.com/dadabhoy-cement-industries-limited-dcil/,"1986",Dadabhoy Cement Industries Ltd
GACTPAK0024,Hub,Balochistan,Pakistan,Asia,Southern Asia,25.139196,66.914996,Operating,Integrated,Dry,3,http://www.attockcement.com/about-us/,"1988",Attock Cement Pakistan Ltd
GACTPAK0025,Khushab,Punjab,Pakistan,Asia,Southern Asia,32.387991,72.14237,Operating,Integrated,Dry,1.3,https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/atoms/files/myb3-2016-pk.pdf,"1994",Pioneer Cement Ltd
