VALUE,ZONE_CODE,COUNT,AREA,SUM
Bhanvad,157,912.000000000000000,0.063333333333333,0.000000000000000
Dwarka,158,1090.000000000000000,0.075694444444444,0.000000000000000
Kalyanpur,159,1999.000000000000000,0.138819444444443,0.000000000000000
Khambhaliya,160,1737.000000000000000,0.120624999999999,0.000000000000000
Dahegam,161,738.000000000000000,0.051250000000000,0.000000000000000
Gandhinagar,162,818.000000000000000,0.056805555555555,0.000000000000000
Kalol,163,1129.000000000000000,0.078402777777777,0.000000000000000
Dhrol,164,726.000000000000000,0.050416666666666,0.000000000000000
Jam Jodhpur,165,1391.000000000000000,0.096597222222221,0.000000000000000
Jamnagar,166,1856.000000000000000,0.128888888888888,0.000000000000000
Jodiya,167,1185.000000000000000,0.082291666666666,0.000000000000000
Kalavad,168,1555.000000000000000,0.107986111111110,0.000000000000000
Lalpur,169,1321.000000000000000,0.091736111111110,0.000000000000000
n.a. ( 1037),170,228.000000000000000,0.015833333333333,0.000000000000000
n.a. ( 1049),171,205.000000000000000,0.014236111111111,0.000000000000000
Bhesan,172,432.000000000000000,0.030000000000000,0.000000000000000
Junagadh,173,376.000000000000000,0.026111111111111,0.000000000000000
Manavadar,174,346.000000000000000,0.024027777777778,0.000000000000000
Vanthli,175,62.000000000000000,0.004305555555556,0.000000000000000
Anjar,176,1818.000000000000000,0.126249999999999,0.000000000000000
Bhachau,177,2060.000000000000000,0.143055555555554,0.000000000000000
Bhuj,178,6941.000000000000000,0.482013888888885,0.000000000000000
Lakhpat,179,2786.000000000000000,0.193472222222221,0.000000000000000
Mandvi,180,1812.000000000000000,0.125833333333332,0.000000000000000
Mundra,181,1072.000000000000000,0.074444444444444,0.000000000000000
n.a. ( 1070),182,77.000000000000000,0.005347222222222,0.000000000000000
n.a. ( 1075),183,4.000000000000000,0.000277777777778,0.000000000000000
n.a. ( 913),184,27659.000000000000000,1.920763888888874,136.000000000000000
Nakhtarana,185,2517.000000000000000,0.174791666666665,0.000000000000000
Naliya,186,3334.000000000000000,0.231527777777776,0.000000000000000
Rapar,187,3712.000000000000000,0.257777777777776,0.000000000000000
Kapadvanj,188,1266.000000000000000,0.087916666666666,0.000000000000000
Mahemdavad,189,638.000000000000000,0.044305555555555,0.000000000000000
Matar,190,739.000000000000000,0.051319444444444,0.000000000000000
Nadiad,191,839.000000000000000,0.058263888888888,0.000000000000000
