GID_3,GID_0,COUNTRY,GID_1,NAME_1,NL_NAME_1,GID_2,NAME_2,NL_NAME_2,NAME_3,VARNAME_3,NL_NAME_3,TYPE_3,ENGTYPE_3,CC_3,HASC_3,OBJECTID,Join_Count,TARGET_FID,id,lat,lon,type,state,schools1km,hosp1km,pop1km,Shape_Length,Shape_Area
PAK.4.1.1_1,PAK,Pakistan,PAK.4_1,Islamabad,NA,PAK.4.1_1,Islamabad,NA,Islamabad,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.1.1_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.1_1,Bannu,NA,Bannu,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.1.2_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.1_1,Bannu,NA,Lakki Marwat,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.2.1_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.2_1,Dera Ismail Khan,NA,Dera Ismail Khan,D.I.Khan,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.2.2_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.2_1,Dera Ismail Khan,NA,Tank,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.3.1_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.3_1,F.A.T.A.,NA,Adam Khel,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.3.2_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.3_1,F.A.T.A.,NA,Bhittani,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.4.1_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.4_1,Hazara,NA,Abbottabad,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.4.2_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.4_1,Hazara,NA,Battagram,Batgram,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.4.3_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.4_1,Hazara,NA,Haripur,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.4.4_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.4_1,Hazara,NA,Kohistan,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
PAK.5.4.5_1,PAK,Pakistan,PAK.5_1,Khyber-Pakhtunkhwa,NA,PAK.5.4_1,Hazara,NA,Mansehra,NA,NA,District,District,NA,NA,,,,,,,,,,,,,
