VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
154,2.000000000000000,0.000138888888889,69881,77116,7235,73498.500000000000000,3617.500000000000000,146997.000000000000000,2,69881,1,50.0000000,69881,1,50.0000000,69881,77116
155,10.000000000000000,0.000694444444444,4,20898,20894,3311.299999999999727,6404.051577712346443,33113.000000000000000,10,4,1,10.0000000,4,1,10.0000000,255,8886
156,15.000000000000000,0.001041666666667,91,88826,88735,11202.466666666667152,22124.089467867874191,168037.000000000000000,15,91,1,6.6666999,91,1,6.6666999,1157,22307
157,3.000000000000000,0.000208333333333,30425,175750,145325,104155.666666666671517,59347.911203531191859,312467.000000000000000,3,30425,1,33.3333015,30425,1,33.3333015,106292,175750
158,9.000000000000000,0.000625000000000,791,92204,91413,21939.777777777777374,26252.307482825952320,197458.000000000000000,9,791,1,11.1111002,791,1,11.1111002,12697,27145
159,4.000000000000000,0.000277777777778,3645,106723,103078,45505.250000000000000,38125.490032096633513,182021.000000000000000,4,3645,1,25.0000000,3645,1,25.0000000,27859,106723
160,28.000000000000000,0.001944444444444,806,45433,44627,11406.464285714286234,10353.301428192371532,319381.000000000000000,28,806,1,3.5713999,806,1,3.5713999,8676,24110
161,384.000000000000000,0.026666666666666,3,24270,24267,1223.346354166667425,1616.977300699144507,469765.000000000000000,326,901,11,2.8645999,3,1,0.2604000,858,2616
162,5.000000000000000,0.000347222222222,22363,60822,38459,35707.800000000002910,14154.254828849170735,178539.000000000000000,5,22363,1,20.0000000,22363,1,20.0000000,32996,60822
163,187.000000000000000,0.012986111111111,0,11834,11834,1405.807486631015763,1807.404569665193776,262886.000000000000000,158,0,15,8.0214005,1,1,0.5348000,1008,3156
164,2.000000000000000,0.000138888888889,47249,72679,25430,59964.000000000000000,12715.000000000000000,119928.000000000000000,2,47249,1,50.0000000,47249,1,50.0000000,47249,72679
165,10.000000000000000,0.000694444444444,15207,61233,46026,31101.000000000000000,15006.376651277281780,311010.000000000000000,10,15207,1,10.0000000,15207,1,10.0000000,21574,52882
166,7.000000000000000,0.000486111111111,3105,133317,130212,32204.285714285713766,42819.874770332280605,225430.000000000000000,7,3105,1,14.2856998,3105,1,14.2856998,12951,41692
167,16.000000000000000,0.001111111111111,126,85489,85363,35685.499999999992724,27468.007233416115923,570968.000000000000000,16,126,1,6.2500000,126,1,6.2500000,31936,69987
168,12.000000000000000,0.000833333333333,1583,121342,119759,34787.333333333335759,39087.890772662001837,417448.000000000000000,12,1583,1,8.3332996,1583,1,8.3332996,22036,106383
169,12.000000000000000,0.000833333333333,3217,104016,100799,36807.000000000000000,35900.434112974180607,441684.000000000000000,12,3217,1,8.3332996,3217,1,8.3332996,11268,93616
170,1.000000000000000,0.000069444444444,133556,133556,0,133556.000000000000000,0.000000000000000,133556.000000000000000,1,133556,1,100.0000000,133556,1,100.0000000,133556,133556
171,2.000000000000000,0.000138888888889,7002,32427,25425,19714.500000000000000,12712.500000000000000,39429.000000000000000,2,7002,1,50.0000000,7002,1,50.0000000,7002,32427
172,244.000000000000000,0.016944444444444,0,58614,58614,3856.758196721309560,7610.145432447831809,941049.000000000000000,232,109,3,1.2295001,0,1,0.4098000,2097,6500
