VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
29,10613.000000000000000,0.737013888888883,0,4284,4284,6.381042118156960,68.172316370179558,67722.000000000000000,172,0,9268,87.3268967,65,1,0.0094000,0,4
30,10155.000000000000000,0.705208333333328,0,13592,13592,26.046676514032495,309.871150598038980,264504.000000000000000,317,0,8824,86.8932037,30,1,0.0098000,0,8
31,1949.000000000000000,0.135347222222221,0,2970,2970,40.539763981528992,177.190418524177943,79012.000000000000000,186,0,1616,82.9142990,36,1,0.0513000,0,49
32,4519.000000000000000,0.313819444444442,0,4257,4257,34.304049568488701,123.472392804563583,155020.000000000000000,302,0,3070,67.9354019,33,1,0.0221000,0,98
33,13054.000000000000000,0.906527777777770,0,13323,13323,39.489811552014629,313.586339596063965,515500.000000000000000,503,0,10233,78.3898010,137,1,0.0077000,0,32
34,8393.000000000000000,0.582847222222218,0,5295,5295,12.378648874061721,89.125501493943418,103894.000000000000000,215,0,6702,79.8523026,56,1,0.0119000,0,22
35,14007.000000000000000,0.972708333333326,0,159,159,0.040408367244949,2.085916577026155,566.000000000000000,9,0,13999,99.9429016,4,1,0.0071000,0,0
36,21830.000000000000000,1.515972222222210,0,113,113,0.030691708657810,1.499082580268500,670.000000000000000,14,0,21811,99.9130020,6,1,0.0046000,0,0
37,1890.000000000000000,0.131249999999999,0,8733,8733,596.541798941798902,807.238948645640562,1127464.000000000000000,865,0,354,18.7301998,3,1,0.0529000,246,1723
38,3867.000000000000000,0.268541666666665,0,8606,8606,337.826221877422995,895.466434782082843,1306374.000000000000000,859,0,1852,47.8923988,1,1,0.0259000,4,876
39,4567.000000000000000,0.317152777777775,0,2601,2601,2.627983358878913,57.458666408666268,12002.000000000000000,38,0,4526,99.1023026,6,1,0.0219000,0,0
40,2735.000000000000000,0.189930555555554,0,171,171,0.239122486288848,3.999616704394569,654.000000000000000,16,0,2703,98.8300018,18,1,0.0366000,0,0
41,3173.000000000000000,0.220347222222220,0,4792,4792,289.087614245193436,518.723406820896116,917275.000000000000000,852,0,1376,43.3658981,1,1,0.0315000,21,961
42,7002.000000000000000,0.486249999999996,0,210,210,0.032990574121680,2.521922707241301,231.000000000000000,3,0,7000,99.9713974,21,1,0.0143000,0,0
43,1892.000000000000000,0.131388888888888,0,3785,3785,150.483086680761062,333.491303488596316,284714.000000000000000,421,0,962,50.8456993,37,1,0.0529000,0,490
44,9752.000000000000000,0.677222222222217,0,120,120,0.019175553732568,1.304430756769210,187.000000000000000,5,0,9747,99.9487000,10,1,0.0103000,0,0
45,7794.000000000000000,0.541249999999996,0,60,60,0.007698229407236,0.679584065217964,60.000000000000000,2,0,7793,99.9871979,60,1,0.0128000,0,0
46,1996.000000000000000,0.138611111111110,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1996,100.0000000,0,1996,100.0000000,0,0
47,4905.000000000000000,0.340624999999997,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,4905,100.0000000,0,4905,100.0000000,0,0
48,17543.000000000000000,1.218263888888879,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,17543,100.0000000,0,17543,100.0000000,0,0
49,5668.000000000000000,0.393611111111108,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,5668,100.0000000,0,5668,100.0000000,0,0
50,15657.000000000000000,1.087291666666658,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,15657,100.0000000,0,15657,100.0000000,0,0
