VALUE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MAJORITY_COUNT,MAJORITY_PERCENT,MINORITY,MINORITY_COUNT,MINORITY_PERCENT,MEDIAN,PCT90
2142,1398.000000000000000,0.097083333333333,0,1925,1925,7.364091559370529,97.007350714047163,10295.000000000000000,32,0,1364,97.5680008,11,1,0.0715000,0,0
2143,2030.000000000000000,0.140972222222221,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,2030,100.0000000,0,2030,100.0000000,0,0
2144,2083.000000000000000,0.144652777777777,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,2083,100.0000000,0,2083,100.0000000,0,0
2145,557.000000000000000,0.038680555555555,12,16235,16223,726.658886894075408,1392.911730909408789,404749.000000000000000,320,65,18,3.2316000,12,1,0.1795000,238,1874
2146,906.000000000000000,0.062916666666666,21,32114,32093,1209.928256070639236,2807.891299541422995,1096195.000000000000000,496,218,38,4.1943002,21,1,0.1104000,364,2657
2147,1987.000000000000000,0.137986111111110,0,13687,13687,641.039758429792641,1174.691462528964621,1273746.000000000000000,613,233,86,4.3281002,0,1,0.0503000,292,1391
2148,2159.000000000000000,0.149930555555554,0,18843,18843,627.364520611392550,1334.939896109993470,1354480.000000000000000,550,233,108,5.0022998,28,1,0.0463000,263,1195
2149,1894.000000000000000,0.131527777777777,0,16510,16510,582.884371700104111,1246.654375025204217,1103983.000000000000000,473,233,105,5.5437999,16,1,0.0528000,263,982
2150,1845.000000000000000,0.128124999999999,20,15962,15942,553.318157181571451,1165.268705357942963,1020872.000000000000000,544,130,88,4.7695999,20,1,0.0542000,259,1062
2151,2133.000000000000000,0.148124999999999,31,20613,20582,825.368963900609401,1608.438572834245861,1760512.000000000000000,751,106,143,6.7041998,31,1,0.0469000,292,1648
2152,1666.000000000000000,0.115694444444444,0,689,689,2.021008403361339,25.691519622157976,3367.000000000000000,25,0,1639,98.3794022,9,1,0.0600000,0,0
2153,1648.000000000000000,0.114444444444444,0,825,825,1.403519417475727,22.656315955208701,2313.000000000000000,27,0,1621,98.3617020,8,1,0.0607000,0,0
2154,1420.000000000000000,0.098611111111110,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1420,100.0000000,0,1420,100.0000000,0,0
2155,1213.000000000000000,0.084236111111110,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1213,100.0000000,0,1213,100.0000000,0,0
2156,938.000000000000000,0.065138888888888,0,20286,20286,1138.974413646056973,2115.247324171737546,1068358.000000000000000,473,210,78,8.3156004,0,1,0.1066000,465,3047
2157,817.000000000000000,0.056736111111111,34,18448,18414,923.299877600978789,1787.955995206698844,754336.000000000000000,367,233,43,5.2631998,34,1,0.1224000,350,2309
2158,1199.000000000000000,0.083263888888888,0,24047,24047,1035.065054211845336,1955.198722417133695,1241043.000000000000000,487,234,101,8.4237003,0,1,0.0834000,420,3044
2159,1080.000000000000000,0.074999999999999,0,13881,13881,837.905555555555111,1365.637440486320202,904938.000000000000000,447,234,56,5.1852002,0,1,0.0926000,348,2382
2160,1198.000000000000000,0.083194444444444,0,22926,22926,1092.055926544242311,2172.776364376560196,1308283.000000000000000,532,234,44,3.6728001,14,1,0.0835000,525,2144
2161,2010.000000000000000,0.139583333333332,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,2010,100.0000000,0,2010,100.0000000,0,0
2162,1555.000000000000000,0.107986111111110,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1555,100.0000000,0,1555,100.0000000,0,0
2163,1487.000000000000000,0.103263888888888,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1487,100.0000000,0,1487,100.0000000,0,0
2164,1516.000000000000000,0.105277777777777,0,0,0,0.000000000000000,0.000000000000000,0.000000000000000,1,0,1516,100.0000000,0,1516,100.0000000,0,0
2165,1425.000000000000000,0.098958333333333,27,17311,17284,777.814736842104821,1556.269214317352862,1108386.000000000000000,452,632,63,4.4211001,27,1,0.0702000,390,1258
2166,1289.000000000000000,0.089513888888888,15,19129,19114,639.083785880526420,1309.979872683403300,823779.000000000000000,375,632,101,7.8354998,15,1,0.0776000,347,954
2167,1231.000000000000000,0.085486111111110,39,9648,9609,469.089358245329379,851.885594395599128,577449.000000000000000,330,127,95,7.7172999,46,1,0.0812000,229,912
2168,253.000000000000000,0.017569444444444,39,3211,3172,358.561264822134433,455.501427653577707,90716.000000000000000,75,127,69,27.2726994,41,1,0.3953000,239,833
2169,1357.000000000000000,0.094236111111110,24,10644,10620,498.827560795873296,894.354757116233827,676909.000000000000000,328,127,153,11.2749004,24,1,0.0737000,255,834
2170,1283.000000000000000,0.089097222222222,0,14832,14832,556.822291504286000,1252.355063927069978,714403.000000000000000,350,115,94,7.3266001,9,1,0.0779000,223,1478
