country,plant_name,daily_prod,cap_mw,start_year,latitude,longitude,status,coal_type,location,heat_rate,emi_factor
South Africa,Hendrina power station,,200,1970,-26.0320437,29.6016128,operating,bituminous,Nkangala,12618,94600
South Africa,Hendrina power station,,200,1971,-26.0320437,29.6016128,operating,bituminous,Nkangala,12618,94600
South Africa,Hendrina power station,,200,1973,-26.0320437,29.6016128,operating,bituminous,Nkangala,12618,94600
South Africa,Hendrina power station,,200,1974,-26.0320437,29.6016128,operating,bituminous,Nkangala,12618,94600
South Africa,Hendrina power station,,200,1975,-26.0320437,29.6016128,operating,bituminous,Nkangala,12618,94600
South Africa,Kelvin power station,,60,1968,-26.1157758,28.194019,operating,bituminous,Ekurhuleni,12618,94600
South Africa,Kelvin power station,,60,1968,-26.1157758,28.194019,operating,bituminous,Ekurhuleni,12618,94600
South Africa,Kelvin power station,,60,1969,-26.1157758,28.194019,operating,bituminous,Ekurhuleni,12618,94600
South Africa,Kelvin power station,,60,1969,-26.1157758,28.194019,operating,bituminous,Ekurhuleni,12618,94600
South Africa,Kelvin power station,,60,1962,-26.1157758,28.194019,operating,bituminous,Ekurhuleni,12618,94600
South Africa,Kelvin power station,,60,1964,-26.1157758,28.194019,operating,bituminous,Ekurhuleni,12618,94600
South Africa,Kelvin power station,,60,1965,-26.1157758,28.194019,operating,bituminous,Ekurhuleni,12618,94600
South Africa,Kendal power station,,686,1988,-26.0902853,28.9687965,operating,bituminous,Nkangala,10878,94600
South Africa,Kendal power station,,686,1989,-26.0902853,28.9687965,operating,bituminous,Nkangala,10878,94600
South Africa,Kendal power station,,686,1990,-26.0902853,28.9687965,operating,bituminous,Nkangala,10878,94600
South Africa,Kendal power station,,686,1991,-26.0902853,28.9687965,operating,bituminous,Nkangala,10878,94600
South Africa,Kendal power station,,686,1992,-26.0902853,28.9687965,operating,bituminous,Nkangala,10878,94600
South Africa,Kendal power station,,686,1993,-26.0902853,28.9687965,operating,bituminous,Nkangala,10878,94600
South Africa,Kriel power station,,500,1976,-26.253937,29.1784651,operating,bituminous,Nkangala,10878,94600
South Africa,Kriel power station,,500,1976,-26.253937,29.1784651,operating,bituminous,Nkangala,10878,94600
South Africa,Kriel power station,,500,1977,-26.253937,29.1784651,operating,bituminous,Nkangala,10878,94600
South Africa,Kriel power station,,500,1978,-26.253937,29.1784651,operating,bituminous,Nkangala,10878,94600
South Africa,Kriel power station,,500,1979,-26.253937,29.1784651,operating,bituminous,Nkangala,10878,94600
South Africa,Kriel power station,,500,1979,-26.253937,29.1784651,operating,bituminous,Nkangala,10878,94600
South Africa,Kusile power station,,800,2018,-25.9200701,28.924942,operating,bituminous,,8409,94600
South Africa,Kusile power station,,800,2020,-25.9200701,28.924942,operating,bituminous,,8409,94600
South Africa,Kusile power station,,800,2021,-25.9200701,28.924942,operating,bituminous,,8409,94600
South Africa,Kusile power station,,800,2022,-25.9200701,28.924942,operating,bituminous,,8409,94600
South Africa,Kusile power station,,800,2024,-25.9200701,28.924942,construction,bituminous,,8409,94600
