GID_0,COUNTRY,GID_1,NAME_1,GID_2,NAME_2,NAME_3,TYPE_3,ENGTYPE_3
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.5_1,Lahore,Nankana Sahib,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.5_1,Lahore,Okara,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.5_1,Lahore,Okara 1,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.5_1,Lahore,Sheikhupura,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.6_1,Multan,Khanewal,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.6_1,Multan,Lodhran,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.6_1,Multan,Multan,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.6_1,Multan,Pakpattan,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.6_1,Multan,Sahiwal,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.6_1,Multan,Vehari,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.7_1,Rawalpindi,Attok,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.7_1,Rawalpindi,Chakwal,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.7_1,Rawalpindi,Jhelum,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.7_1,Rawalpindi,Rawalpindi,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.8_1,Sargodha,Bhakkar,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.8_1,Sargodha,Khushab,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.8_1,Sargodha,Mianwali,District,District
PAK,Pakistan,PAK.7_1,Punjab,PAK.7.8_1,Sargodha,Sargodha,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.1_1,Hyderabad,Badin,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.1_1,Hyderabad,Dadu,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.1_1,Hyderabad,Hyderabad,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.1_1,Hyderabad,Jamshoro,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.1_1,Hyderabad,Matiari,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.1_1,Hyderabad,Tando Allahyar,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.1_1,Hyderabad,Tando M. Khan,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.1_1,Hyderabad,Thatta,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.2_1,Karachi,Karachi Central,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.2_1,Karachi,Karachi East,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.2_1,Karachi,Karachi South,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.2_1,Karachi,Karachi west,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.2_1,Karachi,Malir,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.3_1,Larkana,Jakobabad,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.3_1,Larkana,Kashmore,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.3_1,Larkana,Larkana,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.3_1,Larkana,Shikarpur,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.4_1,Mirpur Khas,Mirphurkhas,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.4_1,Mirpur Khas,Mithi,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.4_1,Mirpur Khas,Sanghar,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.4_1,Mirpur Khas,Umerkot,District,District
PAK,Pakistan,PAK.8_1,Sindh,PAK.8.5_1,Rann of Kutch,Rann of Kutch,District,District
